"R_PEDOT_3dots.spc - RawData"
"Wavelength nm." "R%"
400,00 6,945
401,00 6,951
402,00 6,954
403,00 6,952
404,00 6,966
405,00 6,961
406,00 6,955
407,00 6,937
408,00 6,941
409,00 6,936
410,00 6,944
411,00 6,937
412,00 6,934
413,00 6,925
414,00 6,936
415,00 6,931
416,00 6,922
417,00 6,919
418,00 6,911
419,00 6,918
420,00 6,895
421,00 6,886
422,00 6,872
423,00 6,860
424,00 6,852
425,00 6,840
426,00 6,834
427,00 6,825
428,00 6,824
429,00 6,821
430,00 6,805
431,00 6,786
432,00 6,764
433,00 6,753
434,00 6,734
435,00 6,716
436,00 6,708
437,00 6,692
438,00 6,689
439,00 6,676
440,00 6,667
441,00 6,650
442,00 6,637
443,00 6,615
444,00 6,591
445,00 6,572
446,00 6,564
447,00 6,570
448,00 6,560
449,00 6,549
450,00 6,528
451,00 6,519
452,00 6,504
453,00 6,491
454,00 6,466
455,00 6,454
456,00 6,443
457,00 6,425
458,00 6,414
459,00 6,396
460,00 6,394
461,00 6,375
462,00 6,355
463,00 6,332
464,00 6,311
465,00 6,294
466,00 6,286
467,00 6,280
468,00 6,267
469,00 6,251
470,00 6,237
471,00 6,232
472,00 6,226
473,00 6,215
474,00 6,197
475,00 6,189
476,00 6,175
477,00 6,173
478,00 6,158
479,00 6,151
480,00 6,123
481,00 6,099
482,00 6,081
483,00 6,065
484,00 6,056
485,00 6,034
486,00 6,025
487,00 6,003
488,00 5,993
489,00 5,978
490,00 5,960
491,00 5,937
492,00 5,908
493,00 5,888
494,00 5,877
495,00 5,872
496,00 5,858
497,00 5,834
498,00 5,816
499,00 5,792
500,00 5,777
501,00 5,755
502,00 5,742
503,00 5,725
504,00 5,708
505,00 5,681
506,00 5,652
507,00 5,624
508,00 5,609
509,00 5,591
510,00 5,572
511,00 5,551
512,00 5,524
513,00 5,497
514,00 5,474
515,00 5,451
516,00 5,441
517,00 5,427
518,00 5,407
519,00 5,379
520,00 5,345
521,00 5,328
522,00 5,295
523,00 5,286
524,00 5,255
525,00 5,237
526,00 5,208
527,00 5,189
528,00 5,174
529,00 5,153
530,00 5,126
531,00 5,095
532,00 5,071
533,00 5,052
534,00 5,027
535,00 5,001
536,00 4,978
537,00 4,952
538,00 4,933
539,00 4,909
540,00 4,899
541,00 4,865
542,00 4,835
543,00 4,802
544,00 4,788
545,00 4,774
546,00 4,759
547,00 4,730
548,00 4,708
549,00 4,686
550,00 4,668
551,00 4,642
552,00 4,623
553,00 4,600
554,00 4,574
555,00 4,543
556,00 4,524
557,00 4,506
558,00 4,488
559,00 4,470
560,00 4,459
561,00 4,443
562,00 4,419
563,00 4,396
564,00 4,378
565,00 4,361
566,00 4,345
567,00 4,325
568,00 4,302
569,00 4,282
570,00 4,264
571,00 4,248
572,00 4,230
573,00 4,212
574,00 4,192
575,00 4,180
576,00 4,163
577,00 4,152
578,00 4,130
579,00 4,120
580,00 4,105
581,00 4,093
582,00 4,078
583,00 4,059
584,00 4,047
585,00 4,030
586,00 4,026
587,00 4,013
588,00 4,009
589,00 3,995
590,00 3,986
591,00 3,974
592,00 3,969
593,00 3,962
594,00 3,948
595,00 3,927
596,00 3,921
597,00 3,911
598,00 3,914
599,00 3,899
600,00 3,897
601,00 3,891
602,00 3,895
603,00 3,892
604,00 3,883
605,00 3,878
606,00 3,864
607,00 3,861
608,00 3,847
609,00 3,856
610,00 3,855
611,00 3,849
612,00 3,846
613,00 3,833
614,00 3,837
615,00 3,833
616,00 3,837
617,00 3,837
618,00 3,832
619,00 3,833
620,00 3,828
621,00 3,832
622,00 3,836
623,00 3,840
624,00 3,834
625,00 3,815
626,00 3,808
627,00 3,809
628,00 3,828
629,00 3,829
630,00 3,833
631,00 3,833
632,00 3,840
633,00 3,848
634,00 3,854
635,00 3,858
636,00 3,853
637,00 3,854
638,00 3,854
639,00 3,866
640,00 3,869
641,00 3,874
642,00 3,877
643,00 3,882
644,00 3,891
645,00 3,891
646,00 3,894
647,00 3,893
648,00 3,899
649,00 3,894
650,00 3,897
651,00 3,903
652,00 3,927
653,00 3,929
654,00 3,928
655,00 3,922
656,00 3,936
657,00 3,947
658,00 3,946
659,00 3,947
660,00 3,947
661,00 3,953
662,00 3,961
663,00 3,968
664,00 3,975
665,00 3,977
666,00 3,987
667,00 3,995
668,00 4,011
669,00 4,022
670,00 4,044
671,00 4,056
672,00 4,066
673,00 4,079
674,00 4,095
675,00 4,110
676,00 4,113
677,00 4,118
678,00 4,130
679,00 4,140
680,00 4,149
681,00 4,156
682,00 4,168
683,00 4,162
684,00 4,169
685,00 4,173
686,00 4,192
687,00 4,190
688,00 4,202
689,00 4,200
690,00 4,218
691,00 4,236
692,00 4,263
693,00 4,263
694,00 4,263
695,00 4,254
696,00 4,255
697,00 4,260
698,00 4,274
699,00 4,291
700,00 4,282
