"R_PEDOT.spc - RawData"
"Wavelength nm." "R%"
400,00 6,679
401,00 6,677
402,00 6,694
403,00 6,700
404,00 6,715
405,00 6,718
406,00 6,726
407,00 6,743
408,00 6,755
409,00 6,747
410,00 6,731
411,00 6,731
412,00 6,738
413,00 6,730
414,00 6,735
415,00 6,743
416,00 6,770
417,00 6,763
418,00 6,755
419,00 6,746
420,00 6,753
421,00 6,765
422,00 6,753
423,00 6,753
424,00 6,750
425,00 6,759
426,00 6,740
427,00 6,728
428,00 6,702
429,00 6,701
430,00 6,685
431,00 6,676
432,00 6,661
433,00 6,644
434,00 6,649
435,00 6,651
436,00 6,646
437,00 6,634
438,00 6,609
439,00 6,603
440,00 6,585
441,00 6,589
442,00 6,574
443,00 6,569
444,00 6,555
445,00 6,549
446,00 6,533
447,00 6,519
448,00 6,508
449,00 6,496
450,00 6,482
451,00 6,471
452,00 6,467
453,00 6,465
454,00 6,454
455,00 6,444
456,00 6,426
457,00 6,410
458,00 6,396
459,00 6,382
460,00 6,374
461,00 6,355
462,00 6,345
463,00 6,335
464,00 6,325
465,00 6,307
466,00 6,295
467,00 6,287
468,00 6,289
469,00 6,284
470,00 6,274
471,00 6,262
472,00 6,259
473,00 6,259
474,00 6,250
475,00 6,236
476,00 6,225
477,00 6,227
478,00 6,219
479,00 6,212
480,00 6,196
481,00 6,175
482,00 6,168
483,00 6,152
484,00 6,151
485,00 6,136
486,00 6,119
487,00 6,111
488,00 6,097
489,00 6,087
490,00 6,066
491,00 6,049
492,00 6,037
493,00 6,032
494,00 6,016
495,00 6,006
496,00 5,981
497,00 5,974
498,00 5,952
499,00 5,939
500,00 5,915
501,00 5,913
502,00 5,908
503,00 5,900
504,00 5,880
505,00 5,859
506,00 5,834
507,00 5,816
508,00 5,799
509,00 5,790
510,00 5,779
511,00 5,764
512,00 5,741
513,00 5,702
514,00 5,684
515,00 5,677
516,00 5,670
517,00 5,650
518,00 5,631
519,00 5,609
520,00 5,596
521,00 5,569
522,00 5,551
523,00 5,507
524,00 5,484
525,00 5,459
526,00 5,448
527,00 5,422
528,00 5,401
529,00 5,377
530,00 5,357
531,00 5,338
532,00 5,315
533,00 5,287
534,00 5,259
535,00 5,238
536,00 5,219
537,00 5,190
538,00 5,157
539,00 5,132
540,00 5,113
541,00 5,091
542,00 5,075
543,00 5,043
544,00 5,016
545,00 4,987
546,00 4,973
547,00 4,950
548,00 4,918
549,00 4,890
550,00 4,866
551,00 4,841
552,00 4,815
553,00 4,787
554,00 4,766
555,00 4,735
556,00 4,712
557,00 4,690
558,00 4,672
559,00 4,654
560,00 4,623
561,00 4,595
562,00 4,567
563,00 4,539
564,00 4,524
565,00 4,503
566,00 4,486
567,00 4,450
568,00 4,421
569,00 4,397
570,00 4,376
571,00 4,349
572,00 4,324
573,00 4,300
574,00 4,278
575,00 4,244
576,00 4,224
577,00 4,199
578,00 4,187
579,00 4,153
580,00 4,131
581,00 4,104
582,00 4,091
583,00 4,069
584,00 4,045
585,00 4,023
586,00 4,002
587,00 3,996
588,00 3,977
589,00 3,959
590,00 3,931
591,00 3,912
592,00 3,891
593,00 3,886
594,00 3,873
595,00 3,868
596,00 3,846
597,00 3,828
598,00 3,807
599,00 3,790
600,00 3,785
601,00 3,774
602,00 3,769
603,00 3,742
604,00 3,727
605,00 3,704
606,00 3,693
607,00 3,677
608,00 3,665
609,00 3,662
610,00 3,644
611,00 3,624
612,00 3,606
613,00 3,602
614,00 3,605
615,00 3,594
616,00 3,573
617,00 3,567
618,00 3,560
619,00 3,567
620,00 3,547
621,00 3,537
622,00 3,530
623,00 3,528
624,00 3,525
625,00 3,516
626,00 3,512
627,00 3,503
628,00 3,495
629,00 3,488
630,00 3,484
631,00 3,494
632,00 3,482
633,00 3,476
634,00 3,465
635,00 3,471
636,00 3,465
637,00 3,463
638,00 3,459
639,00 3,461
640,00 3,457
641,00 3,454
642,00 3,461
643,00 3,463
644,00 3,467
645,00 3,464
646,00 3,461
647,00 3,460
648,00 3,462
649,00 3,461
650,00 3,454
651,00 3,458
652,00 3,469
653,00 3,485
654,00 3,490
655,00 3,483
656,00 3,482
657,00 3,477
658,00 3,481
659,00 3,480
660,00 3,477
661,00 3,476
662,00 3,482
663,00 3,491
664,00 3,502
665,00 3,509
666,00 3,514
667,00 3,515
668,00 3,522
669,00 3,531
670,00 3,554
671,00 3,564
672,00 3,574
673,00 3,575
674,00 3,583
675,00 3,592
676,00 3,607
677,00 3,614
678,00 3,630
679,00 3,636
680,00 3,648
681,00 3,653
682,00 3,673
683,00 3,680
684,00 3,694
685,00 3,688
686,00 3,705
687,00 3,706
688,00 3,720
689,00 3,726
690,00 3,731
691,00 3,747
692,00 3,759
693,00 3,768
694,00 3,766
695,00 3,765
696,00 3,779
697,00 3,794
698,00 3,800
699,00 3,807
700,00 3,801
