






freq(Hz)	real(Ohm)	imag(Ohm)	mag(Ohm)	phas(degree)
9.999847412109379366e+04	9.875643012522510253e+04	-1.488528000570309996e+04	9.987193826058780542e+04	8.571509795554650424e+00
7.943153381347660616e+04	1.641381999730629905e+05	6.042156077628069761e+04	1.749060138961460034e+05	-2.020936499102669970e+01
6.309509277343750000e+04	1.062898071780979953e+05	1.225301530891969924e+04	1.069937357704549941e+05	-6.575990131055999832e+00
5.011844635009769991e+04	1.059260767106819985e+05	-2.017763838272769863e+04	1.078307507996740023e+05	1.078494657519559929e+01
3.981018066406250000e+04	1.411697339171929925e+05	-1.623180341778530055e+04	1.420998424223070033e+05	6.559108465228230322e+00
3.162288665771480009e+04	1.461017300855529902e+05	-1.717452407763540032e+04	1.471077149957979855e+05	6.704454383977299869e+00
2.511882781982420056e+04	1.459628209265450132e+05	-1.571321546453009978e+04	1.468061655144949909e+05	6.144352703499349921e+00
1.995277404785159888e+04	1.458436548018599860e+05	-1.555126514063059949e+04	1.466704247400900058e+05	6.086433932553130255e+00
1.584863662719730019e+04	1.481418943014180113e+05	-1.438486993017590066e+04	1.488386553625120141e+05	5.546145583261139933e+00
1.258897781372069949e+04	1.495459064312659902e+05	-1.430213816864749970e+04	1.502282572838549968e+05	5.462987487395039921e+00
9.999990463256839575e+03	1.515120081127049925e+05	-1.324511323533960058e+04	1.520898472185480059e+05	4.996070768507779647e+00
7.943153381347659888e+03	1.528679052055770007e+05	-1.339592642129460000e+04	1.534537301163639931e+05	5.008077988246279588e+00
6.309509277343750000e+03	1.545039810205879912e+05	-1.376688588197880017e+04	1.551161090863799909e+05	5.091822412580910395e+00
5.011796951293949860e+03	1.558288743343619863e+05	-1.531210248214579951e+04	1.565793682409600005e+05	5.611998760203269931e+00
3.980994224548339844e+03	1.575926576289790100e+05	-1.616797583169340032e+04	1.584198509690590145e+05	5.857678061032919992e+00
3.162205219268800192e+03	1.594892483676210104e+05	-1.726234348972409862e+04	1.604207244953899935e+05	6.177370145583550354e+00
2.511858940124509900e+03	1.615972711127850052e+05	-1.849028444819469951e+04	1.626516789033369860e+05	6.527510076941170247e+00
1.995265483856200035e+03	1.642157796857180074e+05	-1.966162686657350059e+04	1.653886388747089950e+05	6.827547285574500080e+00
1.584917306900020094e+03	1.669691903494170110e+05	-2.132238803970110166e+04	1.683251459457419987e+05	7.277426649082079813e+00
1.258909702301029938e+03	1.697495170931199973e+05	-2.302335449965110092e+04	1.713037460354100040e+05	7.723970464747099918e+00
9.999871253967289704e+02	1.731452906642140006e+05	-2.502267272590349967e+04	1.749440648594369995e+05	8.223357465644360431e+00
7.943212985992430504e+02	1.768478989837440022e+05	-2.690346216705319966e+04	1.788825750360790116e+05	8.649953269255640009e+00
6.309598684310909675e+02	1.804880735404950101e+05	-2.884422931714649894e+04	1.827783746925749874e+05	9.079795330386540186e+00
5.011856555938720135e+02	1.846628920968380116e+05	-3.077620282224539915e+04	1.872099313009979960e+05	9.462036665199120122e+00
3.981068730354310219e+02	1.887802830476879899e+05	-3.288459488693629828e+04	1.916230462351620081e+05	9.881490813432309395e+00
3.162249922752379803e+02	1.930599585317030142e+05	-3.516261622832639841e+04	1.962359731758770067e+05	1.032231374442200078e+01
2.511888742446899982e+02	1.973418764964299917e+05	-3.707337549639710051e+04	2.007940521774209919e+05	1.063978481823749966e+01
1.995302736759190054e+02	2.017106378473649966e+05	-4.025081143268499727e+04	2.056874066193169856e+05	1.128498963958439916e+01
1.584887504577640129e+02	2.055900457982250082e+05	-4.361443750575370359e+04	2.101653779533139896e+05	1.197731328508199944e+01
1.258887350559229930e+02	2.093819826250729966e+05	-4.800031477378190175e+04	2.148135118338419998e+05	1.291181377439670008e+01
9.999983012676240435e+01	2.137506588411419943e+05	-5.357172925280490017e+04	2.203616897969289857e+05	1.407006054168899922e+01
7.943250238895420523e+01	2.169813920759689936e+05	-5.837997147579240118e+04	2.246978984697890119e+05	1.505910815529930069e+01
6.309524178504940295e+01	2.209529404598769906e+05	-6.496785760850460065e+04	2.303063707762009872e+05	1.638517232113889932e+01
5.011912435293199763e+01	2.244055055847420008e+05	-1.130566035038660048e+05	2.512759967298390111e+05	2.673919145562929955e+01
3.162305802106860142e+01	2.362707865032450063e+05	-1.086610030657919997e+05	2.600597972431069938e+05	2.469771479479209830e+01
2.511823549866679883e+01	2.515317876194299897e+05	-1.306726855714489939e+05	2.834494504095580196e+05	2.745222146462809931e+01
1.995265483856200106e+01	2.586191218379350030e+05	-1.608125235847560107e+05	3.045398461973780068e+05	3.187385273655450035e+01
1.584831625223159968e+01	2.690752818441319978e+05	-1.971689399590659887e+05	3.335822210251630167e+05	3.623265533178700082e+01
1.258868724107740000e+01	2.700814434997119824e+05	-2.286287118142120016e+05	3.538574204234160134e+05	4.024850376377879968e+01
9.999843314290050245e+00	2.772013870674360078e+05	-2.657955865229680203e+05	3.840415378669329803e+05	4.379666337567979895e+01
7.943017408251759726e+00	2.871714453150510089e+05	-3.589776168315800023e+05	4.597090040345260059e+05	5.134122806110809734e+01
6.309594027698040009e+00	3.191083545961970231e+05	-4.044281554777629790e+05	5.151623772328859777e+05	5.172529053947469890e+01
5.011796019971369809e+00	3.292158951571519719e+05	-5.177112938071630197e+05	6.135210586113659665e+05	5.754746053753120094e+01
3.981054760515689850e+00	3.195704232951269951e+05	-6.256135773104679538e+05	7.025080807793079875e+05	6.294154579633129742e+01
3.162247594445939836e+00	3.240105922085989732e+05	-7.740442263420319650e+05	8.391229517757230205e+05	6.728608655834649710e+01
2.511893399059769827e+00	3.444496842344640172e+05	-9.707048746695599984e+05	1.030006572152080014e+06	7.046302951989210328e+01
1.995242200791840004e+00	3.647296819593089749e+05	-1.183447583562490065e+06	1.238376325654699933e+06	7.287109385772440362e+01
1.584936399012800035e+00	4.135587573135520215e+05	-1.482192047293750104e+06	1.538806066667129984e+06	7.440992303514650530e+01
1.258915290236469975e+00	4.042311371226630290e+05	-1.864294144162740093e+06	1.907615125799479894e+06	7.776604936890289821e+01
1.000007614493370056e+00	4.933230602865570108e+05	-2.285449042782660108e+06	2.338085748848120216e+06	7.781936549966809480e+01
7.943308446556329727e-01	5.375503533407290233e+05	-2.839961113578809891e+06	2.890387432337840088e+06	7.928180481969499738e+01
6.309564923867579944e-01	5.926332207356139552e+05	-3.541151486965150107e+06	3.590399418999920134e+06	8.049924937010210613e+01
5.011825123801829651e-01	6.735146100937239826e+05	-4.392542617606010288e+06	4.443878101106589660e+06	8.128265252470809799e+01
3.981040208600459818e-01	7.808305452213010285e+05	-5.448436939627289772e+06	5.504104052926849574e+06	8.184431633857350619e+01
3.162276698276400011e-01	9.051816432522019604e+05	-6.765141376609760337e+06	6.825429777881990187e+06	8.237903959769690232e+01
2.511878847144540239e-01	1.060276588017330039e+06	-8.393233551902670413e+06	8.459938291730169207e+06	8.280023779065710698e+01
1.995285856537520053e-01	1.235283039362590062e+06	-1.040716050674290024e+07	1.048021536040389910e+07	8.323091968939320395e+01
1.584885467309500029e-01	1.460786251862120116e+06	-1.291599079917120002e+07	1.299833507792080007e+07	8.354732162780319982e+01
1.258886186406019958e-01	1.738716509133350104e+06	-1.604329932853290066e+07	1.613724228125849925e+07	8.381462569288399322e+01
9.999894245993350139e-02	2.045484756466800114e+06	-1.991264084940909967e+07	2.001742424705269933e+07	8.413498130790880225e+01
