Time elapsed	Time stamp	drain_trans Voltage	drain_trans Current	drain_trans Resistance	Loop1 Index	gate_trans Voltage	gate_trans Current	gate_trans Resistance
s		V	A	V/A		V	A	V/A

1.29450768e+02	2023-05-23T14:17:52.085084	-1.00000000e-01	1.99410000e-09	-5.01479364e+07	1	1.00000000e+00	1.00018000e-02	9.99820032e+01
1.29764819e+02	2023-05-23T14:17:52.399006	-1.00000000e-01	-2.10200000e-11	4.75737393e+09	1	9.75000000e-01	1.00017000e-02	9.74834278e+01
1.30863973e+02	2023-05-23T14:17:53.497737	-1.00000000e-01	5.97240000e-10	-1.67436876e+08	1	9.50000000e-01	1.00018000e-02	9.49829031e+01
1.31222161e+02	2023-05-23T14:17:53.855650	-1.00000000e-01	-1.06270000e-10	9.40999341e+08	1	9.25000000e-01	1.00018000e-02	9.24833530e+01
1.32188621e+02	2023-05-23T14:17:54.822458	-1.00000000e-01	-4.01660000e-10	2.48966788e+08	1	9.00000000e-01	1.00018000e-02	8.99838029e+01
1.32560774e+02	2023-05-23T14:17:55.194628	-1.00000000e-01	-5.15090000e-10	1.94140830e+08	1	8.75000000e-01	1.00017000e-02	8.74851275e+01
1.32934526e+02	2023-05-23T14:17:55.568777	-1.00000000e-01	-4.75170000e-10	2.10450996e+08	1	8.50000000e-01	1.00018000e-02	8.49847028e+01
1.33308602e+02	2023-05-23T14:17:55.942061	-1.00000000e-01	5.53230000e-10	-1.80756647e+08	1	8.25000000e-01	1.00018000e-02	8.24851527e+01
1.33681773e+02	2023-05-23T14:17:56.315938	-1.00000000e-01	5.91220000e-10	-1.69141775e+08	1	8.00000000e-01	1.00018000e-02	7.99856026e+01
1.34050973e+02	2023-05-23T14:17:56.685191	-1.00000000e-01	3.02700000e-10	-3.30360093e+08	1	7.75000000e-01	1.00017000e-02	7.74868272e+01
1.35022176e+02	2023-05-23T14:17:57.655624	-1.00000000e-01	3.09520000e-10	-3.23080899e+08	1	7.50000000e-01	1.00018000e-02	7.49865024e+01
1.35385771e+02	2023-05-23T14:17:58.020141	-1.00000000e-01	1.27230000e-10	-7.85978150e+08	1	7.25000000e-01	1.00018000e-02	7.24869523e+01
1.35775086e+02	2023-05-23T14:17:58.409310	-1.00000000e-01	3.53900000e-10	-2.82565697e+08	1	7.00000000e-01	1.00018000e-02	6.99874023e+01
1.36127888e+02	2023-05-23T14:17:58.761847	-1.00000000e-01	1.42120000e-10	-7.03630735e+08	1	6.75000000e-01	1.00018000e-02	6.74878522e+01
1.36514899e+02	2023-05-23T14:17:59.148518	-1.00000000e-01	1.39610000e-10	-7.16281069e+08	1	6.50000000e-01	1.00018000e-02	6.49883021e+01
1.36865900e+02	2023-05-23T14:17:59.499529	-1.00000000e-01	2.38150000e-10	-4.19903422e+08	1	6.25000000e-01	1.00018000e-02	6.24887520e+01
1.37241215e+02	2023-05-23T14:17:59.875489	-1.00000000e-01	-1.23870000e-10	8.07297974e+08	1	6.00000000e-01	1.00017000e-02	5.99898017e+01
