Time elapsed	Time stamp	drain_trans Voltage	drain_trans Current	drain_trans Resistance	Loop1 Index	gate_trans Voltage	gate_trans Current	gate_trans Resistance
s		V	A	V/A		V	A	V/A

4.07252999e-01	2023-05-22T18:37:04.788168	-3.00000000e-01	-1.56120000e-04	1.92159877e+03	1	1.00000000e+00	3.59940000e-07	2.77824082e+06
5.47009192e-01	2023-05-22T18:37:04.918124	-3.00000000e-01	-1.07180000e-07	2.79902967e+06	1	9.50000000e-01	5.84130000e-08	1.62635030e+07
7.47645335e-01	2023-05-22T18:37:05.128162	-3.00000000e-01	3.23820000e-08	-9.26440615e+06	1	9.00000000e-01	2.87130000e-08	3.13446871e+07
9.46302813e-01	2023-05-22T18:37:05.318164	-3.00000000e-01	-7.20930000e-09	4.16129166e+07	1	8.50000000e-01	1.82710000e-08	4.65218105e+07
1.16737914e+00	2023-05-22T18:37:05.548154	-3.00000000e-01	-5.18420000e-09	5.78681378e+07	1	8.00000000e-01	1.17090000e-08	6.83235118e+07
1.34097203e+00	2023-05-22T18:37:05.718135	-3.00000000e-01	-1.84220000e-09	1.62848768e+08	1	7.50000000e-01	1.18240000e-08	6.34303112e+07
1.74802564e+00	2023-05-22T18:37:06.128139	-3.00000000e-01	-3.10680000e-09	9.65623793e+07	1	7.00000000e-01	7.70070000e-09	9.09008272e+07
1.99800164e+00	2023-05-22T18:37:06.378143	-3.00000000e-01	-3.16540000e-09	9.47747520e+07	1	6.50000000e-01	6.15350000e-09	1.05630942e+08
2.24802482e+00	2023-05-22T18:37:06.628146	-3.00000000e-01	-1.59790000e-09	1.87746417e+08	1	6.00000000e-01	5.18370000e-09	1.15747439e+08
2.74236739e+00	2023-05-22T18:37:07.118402	-3.00000000e-01	-1.60070000e-09	1.87418005e+08	1	5.50000000e-01	5.68780000e-09	9.66981961e+07
4.13158799e+00	2023-05-22T18:37:08.512108	-3.00000000e-01	-1.05900000e-09	2.83286119e+08	1	5.00000000e-01	4.31960000e-09	1.15751458e+08
5.02103014e+00	2023-05-22T18:37:09.401236	-3.00000000e-01	-8.29170000e-10	3.61807591e+08	1	4.50000000e-01	3.41170000e-09	1.31899053e+08
5.68635800e+00	2023-05-22T18:37:10.067274	-3.00000000e-01	-9.76460000e-10	3.07232247e+08	1	4.00000000e-01	3.67440000e-09	1.08861311e+08
6.64701198e+00	2023-05-22T18:37:11.027944	-3.00000000e-01	-8.31500000e-10	3.60793746e+08	1	3.50000000e-01	2.72570000e-09	1.28407382e+08
7.63826532e+00	2023-05-22T18:37:12.018951	-3.00000000e-01	-7.38650000e-10	4.06146348e+08	1	3.00000000e-01	2.20000000e-09	1.36363636e+08
8.58942434e+00	2023-05-22T18:37:12.970026	-3.00000000e-01	6.77780000e-10	-4.42621500e+08	1	2.50000000e-01	-1.03530000e-09	-2.41475901e+08
8.96838238e+00	2023-05-22T18:37:13.348997	-3.00000000e-01	-1.64490000e-09	1.82381908e+08	1	2.00000000e-01	-1.38420000e-09	-1.44487791e+08
