Time elapsed	Time stamp	drain_trans Voltage	drain_trans Current	drain_trans Resistance	Loop1 Index	gate_trans Voltage	gate_trans Current	gate_trans Resistance
s		V	A	V/A		V	A	V/A

4.23190217e-01	2023-05-22T18:31:02.083463	-3.00000000e-01	-1.06540000e-04	2.81584381e+03	1	5.00000000e-01	2.91320000e-08	1.71632569e+07
6.44951266e-01	2023-05-22T18:31:02.313560	-3.00000000e-01	-9.70400000e-09	3.09150866e+07	1	4.50000000e-01	6.36000000e-09	7.07547170e+07
9.74932944e-01	2023-05-22T18:31:02.643560	-3.00000000e-01	-2.59470000e-09	1.15620303e+08	1	4.00000000e-01	2.81000000e-09	1.42348754e+08
1.23196863e+00	2023-05-22T18:31:02.893530	-3.00000000e-01	-1.36280000e-09	2.20135016e+08	1	3.50000000e-01	1.85860000e-09	1.88313785e+08
2.09243603e+00	2023-05-22T18:31:03.753745	-3.00000000e-01	-6.18710000e-10	4.84879831e+08	1	3.00000000e-01	-1.29540000e-09	-2.31588698e+08
2.35251007e+00	2023-05-22T18:31:04.013749	-3.00000000e-01	-5.53200000e-11	5.42299349e+09	1	2.50000000e-01	3.02220000e-10	8.27211965e+08
3.13733158e+00	2023-05-22T18:31:04.803742	-3.00000000e-01	-7.55700000e-11	3.96982930e+09	1	2.00000000e-01	1.92090000e-10	1.04117861e+09
4.08496937e+00	2023-05-22T18:31:05.753723	-3.00000000e-01	-2.65000000e-11	1.13207547e+10	1	1.50000000e-01	3.49800000e-11	4.28816467e+09
5.06327913e+00	2023-05-22T18:31:06.732693	-3.00000000e-01	1.34450000e-10	-2.23131276e+09	1	1.00000000e-01	-1.48170000e-10	-6.74900452e+08
6.02234829e+00	2023-05-22T18:31:07.691077	-3.00000000e-01	7.68700000e-11	-3.90269286e+09	1	5.00000000e-02	-2.50720000e-10	-1.99425654e+08
7.02034296e+00	2023-05-22T18:31:08.689798	-3.00000000e-01	1.85840000e-10	-1.61429186e+09	1	0.00000000e+00	-3.92540000e-10	-0.00000000e+00
7.96454198e+00	2023-05-22T18:31:09.633302	-3.00000000e-01	2.60960000e-10	-1.14960147e+09	1	-5.00000000e-02	-5.18930000e-10	9.63521091e+07
8.91506592e+00	2023-05-22T18:31:10.583725	-3.00000000e-01	2.03960000e-10	-1.47087664e+09	1	-1.00000000e-01	-6.55580000e-10	1.52536685e+08
9.89777403e+00	2023-05-22T18:31:11.567272	-3.00000000e-01	3.27510000e-10	-9.16002565e+08	1	-1.50000000e-01	-1.39520000e-09	1.07511468e+08
1.08537010e+01	2023-05-22T18:31:12.523204	-3.00000000e-01	2.95010000e-10	-1.01691468e+09	1	-2.00000000e-01	-9.25000000e-10	2.16216216e+08
1.18151911e+01	2023-05-22T18:31:13.483815	-3.00000000e-01	2.34720000e-10	-1.27811861e+09	1	-2.50000000e-01	-1.19090000e-09	2.09925267e+08
1.27936342e+01	2023-05-22T18:31:14.463141	-3.00000000e-01	-3.08900000e-11	9.71188087e+09	1	-3.00000000e-01	-1.75570000e-09	1.70872017e+08
