[SUMMARY]
Software Information
Software Name:	UVProbe
Version:	2.43
Mode:	Normal Mode

Data Information
Data is:	Original
Analyst:	
Date/Time:	16/02/2023 14:59:52
Comments:	

Instrument Information
Instrument Name:	SolidSpec3700
Instrument Type:	SolidSpec-3700 Series
Model (S/N):	SolidSpec3700 ( A11085100264CZ )

[METHOD]
[Measurement Properties]
Wavelength Range (nm.):	300,00 to 1400,00
Scan Speed:	Medium
Sampling Interval:	1,0
Auto Sampling Interval:	Disabled
Scan Mode:	Single

[Sample Preparation Properties]
Weight:	
Volume:	
Dilution:	
Path Length:	
Additional Information:	

[Instrument Properties]
Instrument Type:	SolidSpec-3700 Series
Measuring Mode:	Reflectance
Slit Width:	5,0 nm
Time Constant:	1,0 sec.
Source Lamp:	Auto
Light Source Change Wavelength:	285,00 nm
Detector Unit:	Integral Sphere
Detector Change Wavelength:	900,00 nm  1650,00 nm
Grating Change Wavelength:	800,00 nm
S/R Exchange:	Inverse
Detector Lock:	Auto
Slit Program:	Fixed
Beam Mode:	Double
Stair Correction:	Disable

[Attachment Properties]
Attachment:	X-Y Stage
Sequence File:	Positions.xys

[Operation]
Threshold:	0,0010000
Points:	4
InterPolate:	Disabled
Average:	Disabled

[DATA]
Wavelength	Data
300.0	7.137
301.0	7.145
302.0	7.143
303.0	7.167
304.0	7.229
305.0	7.272
306.0	7.323
307.0	7.296
308.0	7.292
309.0	7.236
310.0	7.210
311.0	7.216
312.0	7.189
313.0	7.134
314.0	7.067
315.0	7.024
316.0	7.008
317.0	6.915
318.0	6.842
319.0	6.793
320.0	6.777
321.0	6.751
322.0	6.685
323.0	6.626
324.0	6.569
325.0	6.529
326.0	6.477
327.0	6.415
328.0	6.300
329.0	6.237
330.0	6.146
331.0	6.107
332.0	6.060
333.0	6.042
334.0	6.004
335.0	5.963
336.0	5.909
337.0	5.900
338.0	5.882
339.0	5.847
340.0	5.819
341.0	5.748
342.0	5.750
343.0	5.719
344.0	5.716
345.0	5.688
346.0	5.683
347.0	5.681
348.0	5.665
349.0	5.663
350.0	5.655
351.0	5.650
352.0	5.639
353.0	5.650
354.0	5.655
355.0	5.666
356.0	5.657
357.0	5.657
358.0	5.639
359.0	5.640
360.0	5.635
361.0	5.631
362.0	5.623
363.0	5.601
364.0	5.588
365.0	5.586
366.0	5.586
367.0	5.577
368.0	5.550
369.0	5.543
370.0	5.528
371.0	5.526
372.0	5.521
373.0	5.507
374.0	5.504
375.0	5.481
376.0	5.489
377.0	5.478
378.0	5.489
379.0	5.474
380.0	5.455
381.0	5.448
382.0	5.459
383.0	5.481
384.0	5.486
385.0	5.484
386.0	5.481
387.0	5.484
388.0	5.487
389.0	5.488
390.0	5.480
391.0	5.485
392.0	5.498
393.0	5.514
394.0	5.527
395.0	5.529
396.0	5.529
397.0	5.524
398.0	5.518
399.0	5.516
400.0	5.528
401.0	5.517
402.0	5.521
403.0	5.510
404.0	5.519
405.0	5.518
406.0	5.513
407.0	5.513
408.0	5.509
409.0	5.511
410.0	5.524
411.0	5.542
412.0	5.561
413.0	5.575
414.0	5.596
415.0	5.623
416.0	5.655
417.0	5.676
418.0	5.703
419.0	5.725
420.0	5.763
421.0	5.785
422.0	5.807
423.0	5.823
424.0	5.847
425.0	5.867
426.0	5.890
427.0	5.915
428.0	5.942
429.0	5.966
430.0	5.984
431.0	6.008
432.0	6.022
433.0	6.042
434.0	6.054
435.0	6.091
436.0	6.112
437.0	6.131
438.0	6.132
439.0	6.148
440.0	6.164
441.0	6.188
442.0	6.199
443.0	6.228
444.0	6.251
445.0	6.282
446.0	6.300
447.0	6.317
448.0	6.351
449.0	6.373
450.0	6.400
451.0	6.416
452.0	6.441
453.0	6.470
454.0	6.506
455.0	6.545
456.0	6.579
457.0	6.611
458.0	6.647
459.0	6.688
460.0	6.719
461.0	6.757
462.0	6.792
463.0	6.827
464.0	6.853
465.0	6.883
466.0	6.917
467.0	6.951
468.0	6.980
469.0	7.010
470.0	7.041
471.0	7.069
472.0	7.100
473.0	7.134
474.0	7.163
475.0	7.196
476.0	7.220
477.0	7.249
478.0	7.274
479.0	7.305
480.0	7.335
481.0	7.358
482.0	7.377
483.0	7.399
484.0	7.428
485.0	7.452
486.0	7.467
487.0	7.488
488.0	7.501
489.0	7.520
490.0	7.534
491.0	7.560
492.0	7.590
493.0	7.593
494.0	7.600
495.0	7.613
496.0	7.635
497.0	7.657
498.0	7.658
499.0	7.661
500.0	7.671
501.0	7.690
502.0	7.718
503.0	7.725
504.0	7.745
505.0	7.750
506.0	7.761
507.0	7.755
508.0	7.759
509.0	7.754
510.0	7.765
511.0	7.763
512.0	7.781
513.0	7.770
514.0	7.769
515.0	7.763
516.0	7.767
517.0	7.780
518.0	7.777
519.0	7.765
520.0	7.749
521.0	7.747
522.0	7.747
523.0	7.746
524.0	7.729
525.0	7.720
526.0	7.712
527.0	7.701
528.0	7.691
529.0	7.665
530.0	7.655
531.0	7.636
532.0	7.621
533.0	7.601
534.0	7.577
535.0	7.556
536.0	7.535
537.0	7.519
538.0	7.500
539.0	7.484
540.0	7.472
541.0	7.454
542.0	7.427
543.0	7.394
544.0	7.372
545.0	7.350
546.0	7.331
547.0	7.305
548.0	7.284
549.0	7.261
550.0	7.235
551.0	7.212
552.0	7.191
553.0	7.179
554.0	7.161
555.0	7.126
556.0	7.100
557.0	7.066
558.0	7.058
559.0	7.031
560.0	7.013
561.0	6.988
562.0	6.972
563.0	6.952
564.0	6.930
565.0	6.912
566.0	6.895
567.0	6.873
568.0	6.849
569.0	6.829
570.0	6.812
571.0	6.793
572.0	6.772
573.0	6.756
574.0	6.738
575.0	6.720
576.0	6.706
577.0	6.698
578.0	6.690
579.0	6.679
580.0	6.667
581.0	6.659
582.0	6.658
583.0	6.647
584.0	6.638
585.0	6.614
586.0	6.589
587.0	6.579
588.0	6.577
589.0	6.589
590.0	6.581
591.0	6.570
592.0	6.560
593.0	6.554
594.0	6.556
595.0	6.559
596.0	6.569
597.0	6.568
598.0	6.563
599.0	6.550
600.0	6.540
601.0	6.532
602.0	6.528
603.0	6.535
604.0	6.538
605.0	6.541
606.0	6.544
607.0	6.556
608.0	6.560
609.0	6.557
610.0	6.548
611.0	6.556
612.0	6.565
613.0	6.573
614.0	6.583
615.0	6.584
616.0	6.592
617.0	6.584
618.0	6.592
619.0	6.605
620.0	6.618
621.0	6.624
622.0	6.627
623.0	6.641
624.0	6.645
625.0	6.653
626.0	6.649
627.0	6.654
628.0	6.661
629.0	6.679
630.0	6.697
631.0	6.706
632.0	6.714
633.0	6.726
634.0	6.745
635.0	6.765
636.0	6.776
637.0	6.772
638.0	6.787
639.0	6.805
640.0	6.820
641.0	6.826
642.0	6.836
643.0	6.856
644.0	6.879
645.0	6.887
646.0	6.898
647.0	6.898
648.0	6.913
649.0	6.939
650.0	6.951
651.0	6.974
652.0	6.978
653.0	6.986
654.0	6.999
655.0	7.015
656.0	7.032
657.0	7.044
658.0	7.066
659.0	7.089
660.0	7.097
661.0	7.114
662.0	7.132
663.0	7.148
664.0	7.156
665.0	7.172
666.0	7.185
667.0	7.205
668.0	7.219
669.0	7.242
670.0	7.262
671.0	7.294
672.0	7.313
673.0	7.333
674.0	7.333
675.0	7.351
676.0	7.357
677.0	7.393
678.0	7.414
679.0	7.431
680.0	7.456
681.0	7.480
682.0	7.516
683.0	7.532
684.0	7.546
685.0	7.551
686.0	7.554
687.0	7.561
688.0	7.587
689.0	7.619
690.0	7.649
691.0	7.662
692.0	7.665
693.0	7.684
694.0	7.707
695.0	7.722
696.0	7.715
697.0	7.718
698.0	7.734
699.0	7.762
700.0	7.777
701.0	7.798
702.0	7.834
703.0	7.861
704.0	7.874
705.0	7.892
706.0	7.906
707.0	7.934
708.0	7.949
709.0	7.950
710.0	7.958
711.0	7.959
712.0	7.999
713.0	8.013
714.0	8.039
715.0	8.048
716.0	8.068
717.0	8.090
718.0	8.118
719.0	8.125
720.0	8.136
721.0	8.151
722.0	8.180
723.0	8.165
724.0	8.179
725.0	8.220
726.0	8.250
727.0	8.257
728.0	8.230
729.0	8.261
730.0	8.278
731.0	8.308
732.0	8.327
733.0	8.378
734.0	8.406
735.0	8.431
736.0	8.433
737.0	8.441
738.0	8.461
739.0	8.475
740.0	8.488
741.0	8.506
742.0	8.534
743.0	8.575
744.0	8.612
745.0	8.605
746.0	8.593
747.0	8.583
748.0	8.591
749.0	8.630
750.0	8.649
751.0	8.686
752.0	8.719
753.0	8.731
754.0	8.751
755.0	8.733
756.0	8.752
757.0	8.773
758.0	8.810
759.0	8.831
760.0	8.829
761.0	8.844
762.0	8.823
763.0	8.847
764.0	8.853
765.0	8.917
766.0	8.958
767.0	9.012
768.0	9.022
769.0	8.985
770.0	8.959
771.0	8.971
772.0	9.046
773.0	9.076
774.0	9.059
775.0	9.068
776.0	9.089
777.0	9.127
778.0	9.148
