Potential applied (V);Time (s);WE(1).Current (A);WE(1).Potential (V);Scan;Index;Q+;Q-;Current range;Overload
0,0250244140625;6,88117298262671;4,3212890625E-08;0,0251190185546875;1;1;5,39909675717354E-06;-1,48168465122581E-05;100 nA;
0,050048828125;7,1314169819949;5,1025390625E-08;0,050146484375;1;2;5,39909675717354E-06;-1,48168465122581E-05;100 nA;
0,0750732421875;7,3816609813631;5,96923828125E-08;0,07501220703125;1;3;5,39909675717354E-06;-1,48168465122581E-05;100 nA;
0,10009765625;7,63190498073129;6,6253662109375E-08;0,0999755859375;1;4;5,39909675717354E-06;-1,48168465122581E-05;100 nA;
0,1251220703125;7,88214898009949;7,2479248046875E-08;0,124969482421875;1;5;5,39909675717354E-06;-1,48168465122581E-05;100 nA;
0,150146484375;8,13239297946768;7,7117919921875E-08;0,14996337890625;1;6;5,39909675717354E-06;-1,48168465122581E-05;100 nA;
0,1751708984375;8,38263697883588;8,0963134765625E-08;0,175018310546875;1;7;5,39909675717354E-06;-1,48168465122581E-05;100 nA;
0,2001953125;8,63288097820407;8,4197998046875E-08;0,199951171875;1;8;5,39909675717354E-06;-1,48168465122581E-05;100 nA;
0,2252197265625;8,88312497757227;8,67919921875E-08;0,224884033203125;1;9;5,39909675717354E-06;-1,48168465122581E-05;100 nA;
0,250244140625;9,13336897694046;8,94775390625E-08;0,25;1;10;5,39909675717354E-06;-1,48168465122581E-05;100 nA;
0,2752685546875;9,38361297630865;9,2376708984375E-08;0,27471923828125;1;11;5,39909675717354E-06;-1,48168465122581E-05;100 nA;
0,30029296875;9,63385697567685;9,58251953125E-08;0,29998779296875;1;12;5,39909675717354E-06;-1,48168465122581E-05;100 nA;
0,3253173828125;9,88410097504504;9,8236083984375E-08;0,324737548828125;1;13;5,39909675717354E-06;-1,48168465122581E-05;100 nA;
0,350341796875;10,1343449744132;1,02325439453125E-07;0,35003662109375;1;14;5,39909675717354E-06;-1,48168465122581E-05;100 nA;
0,3753662109375;10,3845889737814;1,0400390625E-07;0,3748779296875;1;15;5,39909675717354E-06;-1,48168465122581E-05;100 nA;
0,400390625;10,6348329731496;1,10443115234375E-07;0,4000244140625;1;16;5,39909675717354E-06;-1,48168465122581E-05;100 nA;
0,4254150390625;10,8850769725178;1,17034912109375E-07;0,424835205078125;1;17;5,39909675717354E-06;-1,48168465122581E-05;100 nA;
0,450439453125;11,135320971886;1,3372802734375E-07;0,45001220703125;1;18;5,39909675717354E-06;-1,48168465122581E-05;100 nA;
0,4754638671875;11,3855649712542;1,58660888671875E-07;0,474700927734375;1;19;5,39909675717354E-06;-1,48168465122581E-05;100 nA;
0,50048828125;11,6358089706224;1,95220947265625E-07;0,4998779296875;1;20;5,39909675717354E-06;-1,48168465122581E-05;100 nA;
0,5255126953125;11,8860529699906;2,386474609375E-07;0,524444580078125;1;21;5,39909675717354E-06;-1,48168465122581E-05;100 nA;
0,550537109375;12,1362969693588;2,84515380859375E-07;0,549896240234375;1;22;5,39909675717354E-06;-1,48168465122581E-05;100 nA;
0,5755615234375;12,386540968727;3,20281982421875E-07;0,5740966796875;1;23;5,39909675717354E-06;-1,48168465122581E-05;100 nA;
0,6005859375;12,6367849680952;3,472900390625E-07;0,60003662109375;1;24;5,39909675717354E-06;-1,48168465122581E-05;1 µA;
0,6256103515625;12,8870289674634;3,6468505859375E-07;0,62506103515625;1;25;5,39909675717354E-06;-1,48168465122581E-05;1 µA;
0,650634765625;13,1372729668316;3,8055419921875E-07;0,649993896484375;1;26;5,39909675717354E-06;-1,48168465122581E-05;1 µA;
0,6756591796875;13,3875169661998;3,91845703125E-07;0,6749267578125;1;27;5,39909675717354E-06;-1,48168465122581E-05;1 µA;
0,70068359375;13,637760965568;4,046630859375E-07;0,699920654296875;1;28;5,39909675717354E-06;-1,48168465122581E-05;1 µA;
0,7257080078125;13,8880049649362;4,13818359375E-07;0,724761962890625;1;29;5,39909675717354E-06;-1,48168465122581E-05;1 µA;
0,750732421875;14,1382489643044;4,30908203125E-07;0,749847412109375;1;30;5,39909675717354E-06;-1,48168465122581E-05;1 µA;
0,7757568359375;14,3884929636725;4,4219970703125E-07;0,775146484375;1;31;5,39909675717354E-06;-1,48168465122581E-05;1 µA;
0,80078125;14,6387369630407;4,6173095703125E-07;0,799560546875;1;32;5,39909675717354E-06;-1,48168465122581E-05;1 µA;
0,8258056640625;14,8889809624089;4,7821044921875E-07;0,82550048828125;1;33;5,39909675717354E-06;-1,48168465122581E-05;1 µA;
0,850830078125;15,1392249617771;5,023193359375E-07;0,8502197265625;1;34;5,39909675717354E-06;-1,48168465122581E-05;1 µA;
0,8758544921875;15,3894689611453;5,230712890625E-07;0,875244140625;1;35;5,39909675717354E-06;-1,48168465122581E-05;1 µA;
0,90087890625;15,6397129605135;5,50537109375E-07;0,89935302734375;1;36;5,39909675717354E-06;-1,48168465122581E-05;1 µA;
0,9259033203125;15,8899569598817;5,7647705078125E-07;0,92437744140625;1;37;5,39909675717354E-06;-1,48168465122581E-05;1 µA;
0,950927734375;16,1402009592499;6,048583984375E-07;0,94970703125;1;38;5,39909675717354E-06;-1,48168465122581E-05;1 µA;
0,9759521484375;16,3904449586181;6,3018798828125E-07;0,9747314453125;1;39;5,39909675717354E-06;-1,48168465122581E-05;1 µA;
1,0009765625;16,6406889579863;6,561279296875E-07;0,999755859375;1;40;5,39909675717354E-06;-1,48168465122581E-05;1 µA;
0,9759521484375;16,8909329573545;5,908203125E-07;0,97503662109375;1;41;5,39909675717354E-06;-1,48168465122581E-05;1 µA;
0,950927734375;17,1411769567227;5,401611328125E-07;0,94940185546875;1;42;5,39909675717354E-06;-1,48168465122581E-05;1 µA;
0,9259033203125;17,3914209560909;4,98046875E-07;0,92437744140625;1;43;5,39909675717354E-06;-1,48168465122581E-05;1 µA;
0,90087890625;17,6416649554591;4,62646484375E-07;0,89935302734375;1;44;5,39909675717354E-06;-1,48168465122581E-05;1 µA;
0,8758544921875;17,8919089548273;4,3121337890625E-07;0,875244140625;1;45;5,39909675717354E-06;-1,48168465122581E-05;1 µA;
0,850830078125;18,1421529541955;4,034423828125E-07;0,8502197265625;1;46;5,39909675717354E-06;-1,48168465122581E-05;1 µA;
0,8258056640625;18,3923969535637;3,7689208984375E-07;0,8245849609375;1;47;5,39909675717354E-06;-1,48168465122581E-05;1 µA;
0,80078125;18,6426409529319;3,5308837890625E-07;0,8001708984375;1;48;5,39909675717354E-06;-1,48168465122581E-05;1 µA;
0,7757568359375;18,8928849523001;3,2989501953125E-07;0,7745361328125;1;49;5,39909675717354E-06;-1,48168465122581E-05;1 µA;
0,750732421875;19,1431289516682;3,076171875E-07;0,749786376953125;1;50;5,39909675717354E-06;-1,48168465122581E-05;1 µA;
0,7257080078125;19,3933729510364;2,8533935546875E-07;0,724853515625;1;51;5,39909675717354E-06;-1,48168465122581E-05;1 µA;
0,70068359375;19,6436169504046;2,6153564453125E-07;0,69989013671875;1;52;5,39909675717354E-06;-1,48168465122581E-05;1 µA;
0,6756591796875;19,8938609497728;2,3590087890625E-07;0,674957275390625;1;53;5,39909675717354E-06;-1,48168465122581E-05;1 µA;
0,650634765625;20,144104949141;2,0477294921875E-07;0,649993896484375;1;54;5,39909675717354E-06;-1,48168465122581E-05;1 µA;
0,6256103515625;20,3943489485092;1,71417236328125E-07;0,625091552734375;1;55;5,39909675717354E-06;-1,48168465122581E-05;1 µA;
0,6005859375;20,6445929478774;1,29852294921875E-07;0,60003662109375;1;56;5,39909675717354E-06;-1,48168465122581E-05;1 µA;
0,5755615234375;20,8948369472456;8,92333984375E-08;0,5750732421875;1;57;5,39909675717354E-06;-1,48168465122581E-05;1 µA;
0,550537109375;21,1450809466138;5,2398681640625E-08;0,550079345703125;1;58;5,39909675717354E-06;-1,48168465122581E-05;1 µA;
0,5255126953125;21,395324945982;2,825927734375E-08;0,525177001953125;1;59;5,39909675717354E-06;-1,48168465122581E-05;1 µA;
0,50048828125;21,6455689453502;1,190185546875E-08;0,50006103515625;1;60;5,39909675717354E-06;-1,48168465122581E-05;1 µA;
0,4754638671875;21,8958129447184;4,638671875E-09;0,47509765625;1;61;5,39909675717354E-06;-1,48168465122581E-05;1 µA;
