Time elapsed	Time stamp	source Voltage	source Current	source Resistance	trans_drain Voltage	trans_drain Current	trans_drain Resistance	trans_gatee Voltage	trans_gatee Current	trans_gatee Resistance
s		V	A	V/A	V	A	V/A	V	A	V/A

3.75084325e+01	2023-02-13T18:34:56.268677	6.28696300e-05	-2.99419800e-07	-2.09971518e+02	-2.99976000e-01	-2.26696000e-08	1.32325228e+07	6.00112100e-01	2.95968500e-07	2.02762152e+06
3.86655945e+01	2023-02-13T18:34:57.426749	6.35389700e-05	-2.99557200e-07	-2.12109640e+02	-2.99966100e-01	-3.56892100e-08	8.40495208e+06	6.50102900e-01	3.27384000e-07	1.98575037e+06
3.98263010e+01	2023-02-13T18:34:58.586823	6.37899700e-05	-2.99677600e-07	-2.12861989e+02	-2.99968400e-01	-3.50431400e-08	8.55997493e+06	7.00102700e-01	3.29764500e-07	2.12303841e+06
4.09786694e+01	2023-02-13T18:34:59.738895	6.33716900e-05	-3.02779800e-07	-2.09299597e+02	-2.99972400e-01	-1.56212100e-08	1.92028915e+07	7.50086000e-01	3.48260400e-07	2.15380790e+06
4.25070357e+01	2023-02-13T18:35:01.267991	6.32879400e-05	-3.10081700e-07	-2.04100855e+02	-2.99960100e-01	-3.36976500e-08	8.90151390e+06	8.00084700e-01	3.59236600e-07	2.22718036e+06
4.39445272e+01	2023-02-13T18:35:02.705082	6.28696400e-05	-3.30055700e-07	-1.90481910e+02	-2.99970500e-01	-3.40721200e-08	8.80398695e+06	8.50085900e-01	3.99154900e-07	2.12971430e+06
4.53555818e+01	2023-02-13T18:35:04.116171	6.22002600e-05	-3.69769700e-07	-1.68213512e+02	-2.99976700e-01	-4.07412700e-08	7.36296880e+06	9.00105700e-01	4.69701100e-07	1.91633722e+06
4.62926297e+01	2023-02-13T18:35:05.053230	5.41680900e-05	-4.37389800e-07	-1.23843972e+02	-2.99968400e-01	-5.93390600e-08	5.05515928e+06	9.50109900e-01	4.94983200e-07	1.91947909e+06
4.72306590e+01	2023-02-13T18:35:05.991290	6.74713200e-05	-5.47815400e-07	-1.23164336e+02	-2.99964900e-01	-8.18251600e-08	3.66592500e+06	1.00011800e+00	6.76623100e-07	1.47810206e+06
4.85917259e+01	2023-02-13T18:35:07.352375	6.62999700e-05	-6.99900500e-07	-9.47277077e+01	-2.99967700e-01	-1.45147600e-07	2.06663906e+06	1.05011000e+00	8.50869000e-07	1.23416178e+06
4.97100368e+01	2023-02-13T18:35:08.470446	6.49612900e-05	-9.17128700e-07	-7.08311603e+01	-2.99964000e-01	-1.32062700e-07	2.27137564e+06	1.10011400e+00	1.08863900e-06	1.01054068e+06
5.08416917e+01	2023-02-13T18:35:09.602518	6.55469900e-05	-1.17420700e-06	-5.58223465e+01	-2.99978800e-01	-1.84256300e-07	1.62805180e+06	1.15015500e+00	1.21824000e-06	9.44111998e+05
5.19605214e+01	2023-02-13T18:35:10.721588	6.57143600e-05	-1.41235300e-06	-4.65282829e+01	-2.99986600e-01	-1.26111800e-07	2.37873538e+06	1.20014900e+00	1.52568100e-06	7.86631675e+05
5.30859084e+01	2023-02-13T18:35:11.846659	6.45429300e-05	-1.67265700e-06	-3.85870684e+01	-2.99982600e-01	-1.69177500e-07	1.77318260e+06	1.25014600e+00	1.77930700e-06	7.02602755e+05
5.42102315e+01	2023-02-13T18:35:12.970730	6.50449700e-05	-1.99589300e-06	-3.25894073e+01	-2.99979400e-01	-2.45015100e-07	1.22433026e+06	1.30013100e+00	2.14521300e-06	6.06061496e+05
5.53360387e+01	2023-02-13T18:35:14.096801	6.42083400e-05	-2.49802300e-06	-2.57036625e+01	-2.99948400e-01	-1.73556600e-07	1.72824543e+06	1.35011600e+00	2.61724400e-06	5.15854082e+05
5.64600195e+01	2023-02-13T18:35:15.220872	6.22002900e-05	-3.38250700e-06	-1.83888134e+01	-2.99970300e-01	-3.85728500e-07	7.77672119e+05	1.40014300e+00	3.38161600e-06	4.14045533e+05
5.75862233e+01	2023-02-13T18:35:16.346943	6.06942900e-05	-4.45783000e-06	-1.36152096e+01	-2.99973000e-01	-3.24049700e-07	9.25700595e+05	1.45012900e+00	4.12810700e-06	3.51281835e+05
5.87256603e+01	2023-02-13T18:35:17.486015	6.60490100e-05	-5.35315700e-06	-1.23383286e+01	-2.99958300e-01	-1.94755400e-07	1.54017963e+06	1.50011900e+00	5.06433700e-06	2.96212318e+05
5.98498465e+01	2023-02-13T18:35:18.611086	6.47939100e-05	-4.10827700e-06	-1.57715534e+01	-2.99955200e-01	-2.12138100e-07	1.41396194e+06	1.50011700e+00	4.31741900e-06	3.47456895e+05
6.04953990e+01	2023-02-13T18:35:19.256127	6.35389700e-05	-2.94772200e-06	-2.15552790e+01	-2.99937700e-01	-2.65978600e-07	1.12767606e+06	1.45012600e+00	2.88585300e-06	5.02494756e+05
