Time elapsed	Time stamp	source Voltage	source Current	source Resistance	trans_drain Voltage	trans_drain Current	trans_drain Resistance	trans_gate Voltage	trans_gate Current	trans_gate Resistance
s		V	A	V/A	V	A	V/A	V	A	V/A

1.72994692e+00	2023-02-02T16:39:05.293154	6.86426400e-05	1.08581500e-07	6.32176199e+02	-2.99969800e-01	1.19848200e-11	-2.50291452e+10	-7.99918600e-01	-6.56890100e-08	1.21773581e+07
4.57412345e+00	2023-02-02T16:39:08.133176	6.88099700e-05	2.25335500e-08	3.05366753e+03	-2.99970100e-01	1.19511900e-11	-2.50996010e+10	-7.49926300e-01	-2.56502100e-08	2.92366534e+07
6.33988102e+00	2023-02-02T16:39:09.903190	6.77223700e-05	-2.69199800e-09	-2.51569169e+04	-2.99969700e-01	1.19596300e-11	-2.50818545e+10	-6.99939000e-01	-1.12694200e-08	6.21095851e+07
7.84046248e+00	2023-02-02T16:39:11.407925	6.40409800e-05	-1.24079900e-08	-5.16126947e+03	-2.99970300e-01	1.22959900e-11	-2.43957827e+10	-6.49908100e-01	-4.85706800e-09	1.33806671e+08
9.33996635e+00	2023-02-02T16:39:12.907020	6.47940100e-05	-1.58070100e-08	-4.09906807e+03	-2.99970400e-01	1.22875900e-11	-2.44124682e+10	-5.99919700e-01	-1.33676800e-09	4.48783708e+08
1.08403041e+01	2023-02-02T16:39:14.408117	7.38302800e-05	-1.62875700e-08	-4.53292173e+03	-2.99970400e-01	1.22707500e-11	-2.44459711e+10	-5.49925500e-01	1.21565000e-09	-4.52371571e+08
1.23397960e+01	2023-02-02T16:39:15.907212	7.97707500e-05	-1.47161100e-08	-5.42064105e+03	-2.99971100e-01	1.27123000e-11	-2.35969179e+10	-4.99928000e-01	3.27616700e-09	-1.52595396e+08
1.38398146e+01	2023-02-02T16:39:17.407308	7.25752000e-05	-1.45950800e-08	-4.97257980e+03	-2.99970500e-01	1.21908700e-11	-2.46061602e+10	-4.49942600e-01	5.58582000e-09	-8.05508591e+07
1.53398168e+01	2023-02-02T16:39:18.907404	7.10691500e-05	-1.58428300e-08	-4.48588731e+03	-2.99970600e-01	1.25945500e-11	-2.38174925e+10	-3.99914800e-01	8.31655500e-09	-4.80865935e+07
1.68400785e+01	2023-02-02T16:39:20.407499	6.78060500e-05	-1.77152700e-08	-3.82754821e+03	-2.99969700e-01	1.23969100e-11	-2.41971346e+10	-3.49917300e-01	1.14880600e-08	-3.04592159e+07
1.83400961e+01	2023-02-02T16:39:21.907595	6.83081100e-05	-1.88764100e-08	-3.61870239e+03	-2.99969800e-01	1.25104400e-11	-2.39775579e+10	-2.99927700e-01	1.26532300e-08	-2.37036472e+07
1.98398010e+01	2023-02-02T16:39:23.407690	7.23241800e-05	-1.88832200e-08	-3.83007665e+03	-2.99970600e-01	1.97597500e-11	-1.51808904e+10	-2.49931900e-01	1.32473400e-08	-1.88665725e+07
2.13399182e+01	2023-02-02T16:39:24.907786	7.72607600e-05	-2.00141500e-08	-3.86030683e+03	-2.99970400e-01	1.67784700e-11	-1.78782928e+10	-1.99935700e-01	1.39870700e-08	-1.42943233e+07
2.28405693e+01	2023-02-02T16:39:26.407882	8.37868400e-05	-2.05704100e-08	-4.07317307e+03	-2.99970100e-01	1.88094200e-11	-1.59478655e+10	-1.49943300e-01	1.44147100e-08	-1.04021031e+07
2.43399196e+01	2023-02-02T16:39:27.906977	7.61730300e-05	-2.15741500e-08	-3.53075463e+03	-2.99970200e-01	1.24936100e-11	-2.40098899e+10	-9.99428800e-02	1.50435300e-08	-6.64357900e+06
2.58399877e+01	2023-02-02T16:39:29.407098	6.07778300e-05	-2.24332100e-08	-2.70927923e+03	-2.99969800e-01	1.28089900e-11	-2.34186927e+10	-4.99395700e-02	1.57329300e-08	-3.17420658e+06
2.73398059e+01	2023-02-02T16:39:30.907194	6.19492500e-05	-2.22003100e-08	-2.79046779e+03	-2.99970200e-01	1.25440600e-11	-2.39133263e+10	5.52861300e-05	1.60587900e-08	3.44273323e+03
2.88599407e+01	2023-02-02T16:39:32.427283	6.22002300e-05	-2.09444400e-08	-2.96977288e+03	-2.99970000e-01	1.23296100e-11	-2.43292367e+10	5.00536700e-02	1.66522800e-08	3.00581482e+06
3.03555291e+01	2023-02-02T16:39:33.923367	6.17818800e-05	-2.16872200e-08	-2.84876900e+03	-2.99969600e-01	1.26281700e-11	-2.37540039e+10	1.00053400e-01	1.87745700e-08	5.32919795e+06
