Time elapsed	Time stamp	Source Voltage	Source Current	Gate Voltage	Gate Current	Drain Voltage	Drain Current	Loop2 Index
s		V	A	V	A	V	A	

1.14564750e+00	23-06-16 11:52:18	7.26389800e-05	2.14245500e-04	8.00112700e-01	1.42694200e-11	-2.99928200e-01	-2.57897500e-04	1
2.67869310e+00	23-06-16 11:52:20	7.23043100e-05	2.56125500e-04	8.00113300e-01	8.78461600e-12	-2.99928700e-01	-2.52930400e-04	2
3.30336890e+00	23-06-16 11:52:21	7.33079800e-05	2.52011700e-04	8.00112200e-01	8.61636700e-12	-2.99928100e-01	-2.50384900e-04	3
3.92726690e+00	23-06-16 11:52:21	7.30570400e-05	2.49435500e-04	8.00112700e-01	8.38503000e-12	-2.99928300e-01	-2.48047600e-04	4
4.55307710e+00	23-06-16 11:52:22	7.39772000e-05	2.47761600e-04	8.00112100e-01	8.47756500e-12	-2.99928600e-01	-2.46834200e-04	5
5.19377760e+00	23-06-16 11:52:22	7.35589400e-05	2.46041200e-04	8.00113000e-01	8.52803900e-12	-2.99927800e-01	-2.45481400e-04	6
5.81876780e+00	23-06-16 11:52:23	7.28897900e-05	2.44781400e-04	8.00113600e-01	8.21257800e-12	-2.99929300e-01	-2.44140200e-04	7
6.42814150e+00	23-06-16 11:52:24	7.28062300e-05	2.43662800e-04	8.00113200e-01	8.42709200e-12	-2.99928500e-01	-2.42837000e-04	8
7.03794300e+00	23-06-16 11:52:24	7.23879500e-05	2.42604200e-04	8.00113900e-01	8.33035100e-12	-2.99928600e-01	-2.41865500e-04	9
7.64708260e+00	23-06-16 11:52:25	7.23878100e-05	2.41669800e-04	8.00113000e-01	8.30090700e-12	-2.99928100e-01	-2.41079500e-04	10
8.27165180e+00	23-06-16 11:52:26	7.26388500e-05	2.40900500e-04	8.00112500e-01	8.47756500e-12	-2.99928500e-01	-2.40393200e-04	11
8.88089760e+00	23-06-16 11:52:26	7.30571100e-05	2.40238400e-04	8.00113500e-01	8.42288600e-12	-2.99928400e-01	-2.39663200e-04	12
9.49011870e+00	23-06-16 11:52:27	7.39770400e-05	2.39593200e-04	8.00112500e-01	8.40606100e-12	-2.99928600e-01	-2.39038100e-04	13
1.00995446e+01	23-06-16 11:52:27	7.31406600e-05	2.38948500e-04	8.00112700e-01	8.27146400e-12	-2.99928600e-01	-2.38542700e-04	14
1.07092865e+01	23-06-16 11:52:28	7.34753000e-05	2.38423300e-04	8.00113300e-01	8.30511300e-12	-2.99928400e-01	-2.38113500e-04	15
1.13339441e+01	23-06-16 11:52:29	7.36426700e-05	2.37977100e-04	8.00112500e-01	8.19154600e-12	-2.99927800e-01	-2.37501700e-04	16
1.19432985e+01	23-06-16 11:52:29	7.31407500e-05	2.37426500e-04	8.00113700e-01	8.45232800e-12	-2.99928900e-01	-2.37046000e-04	17
1.25526476e+01	23-06-16 11:52:30	7.33917700e-05	2.36949500e-04	8.00112500e-01	8.50700900e-12	-2.99928500e-01	-2.36561500e-04	18
1.31778949e+01	23-06-16 11:52:30	7.36424100e-05	2.36502800e-04	8.00113500e-01	8.53224400e-12	-2.99928500e-01	-2.36158700e-04	19
1.37870281e+01	23-06-16 11:52:31	7.43953300e-05	2.36105600e-04	8.00113000e-01	8.34717500e-12	-2.99928100e-01	-2.35771100e-04	20
1.43965592e+01	23-06-16 11:52:32	7.33915300e-05	2.35727500e-04	8.00113200e-01	8.30511300e-12	-2.99928400e-01	-2.35417800e-04	21
1.50216027e+01	23-06-16 11:52:32	7.33915600e-05	2.35365200e-04	8.00111900e-01	8.29249500e-12	-2.99928300e-01	-2.35055100e-04	22
1.56307619e+01	23-06-16 11:52:33	7.28897900e-05	2.35020000e-04	8.00112400e-01	8.23781500e-12	-2.99927600e-01	-2.34726300e-04	23
1.62409196e+01	23-06-16 11:52:34	7.27224400e-05	2.34699200e-04	8.00112900e-01	8.22519600e-12	-2.99927900e-01	-2.34426100e-04	24
1.68502264e+01	23-06-16 11:52:34	7.29733100e-05	2.34407300e-04	8.00112200e-01	8.13266100e-12	-2.99928200e-01	-2.34060900e-04	25
1.74588435e+01	23-06-16 11:52:35	7.30569600e-05	2.34069400e-04	8.00112700e-01	8.09059900e-12	-2.99928100e-01	-2.34319400e-04	26
1.80840894e+01	23-06-16 11:52:35	7.23878100e-05	2.33785600e-04	8.00112700e-01	8.51121300e-12	-2.99927800e-01	-2.34700400e-04	27
1.86932569e+01	23-06-16 11:52:36	7.22205100e-05	2.34336300e-04	8.00111900e-01	8.10321800e-12	-2.99929000e-01	-2.34110700e-04	28
1.93026000e+01	23-06-16 11:52:37	7.23879200e-05	2.33638700e-04	8.00113000e-01	8.46494800e-12	-2.99928200e-01	-2.36861900e-04	29
1.99274896e+01	23-06-16 11:52:37	7.24715300e-05	2.36008800e-04	8.00113100e-01	8.37661700e-12	-2.99927800e-01	-2.37787000e-04	30
2.05369559e+01	23-06-16 11:52:38	7.30570400e-05	2.34765400e-04	8.00113900e-01	8.01068400e-12	-2.99928400e-01	-2.30269000e-04	31
2.11466993e+01	23-06-16 11:52:38	7.23879800e-05	2.28183200e-04	8.00112400e-01	8.39764800e-12	-2.99928100e-01	-2.27445900e-04	32
2.17710923e+01	23-06-16 11:52:39	7.27225600e-05	2.25940200e-04	8.00113000e-01	8.35138000e-12	-2.99928000e-01	-2.30417600e-04	33
2.23807332e+01	23-06-16 11:52:40	7.36426200e-05	2.22420100e-04	8.00113000e-01	8.49018500e-12	-2.99926800e-01	-2.05232100e-04	34
2.29908772e+01	23-06-16 11:52:40	7.33915900e-05	1.89618100e-04	8.00112800e-01	8.15789900e-12	-2.99927700e-01	-1.83277500e-04	35
2.35999519e+01	23-06-16 11:52:41	6.84564300e-05	1.75811100e-04	8.00114000e-01	8.05695000e-12	-2.99927700e-01	-2.14628300e-04	36
2.42247110e+01	23-06-16 11:52:42	7.33078900e-05	2.10711300e-04	8.00114300e-01	3.96787000e-11	-2.99927000e-01	-1.64133700e-04	37
2.48339329e+01	23-06-16 11:52:42	7.07147400e-05	1.43729900e-04	8.00112800e-01	9.89082600e-12	-2.99927700e-01	-1.66434800e-04	38
2.54437125e+01	23-06-16 11:52:43	7.19693800e-05	1.67322400e-04	8.00114300e-01	1.30304200e-10	-2.99927300e-01	-1.58225700e-04	39
2.60677033e+01	23-06-16 11:52:43	7.08820600e-05	1.60946700e-04	8.00113900e-01	8.29670000e-12	-2.99928600e-01	-1.60904400e-04	40
2.66773761e+01	23-06-16 11:52:44	7.12166400e-05	1.50131200e-04	2.66935000e-02	7.45770500e-11	-2.99930700e-01	-9.52669500e-05	41
2.72873542e+01	23-06-16 11:52:45	6.45239500e-05	-1.64724800e-08	8.00119200e-01	4.54896000e-08	-2.99927000e-01	-2.16541600e-08	42
2.96138038e+01	23-06-16 11:52:47	6.64478000e-05	-3.94468200e-09	8.00116100e-01	2.28178200e-08	-2.99927500e-01	-1.84643100e-08	43
3.03012656e+01	23-06-16 11:52:48	6.71171600e-05	-2.98800800e-09	8.00114900e-01	1.93438700e-08	-2.99925700e-01	-1.57265800e-08	44
3.09892551e+01	23-06-16 11:52:48	6.73680300e-05	-2.46725900e-09	8.00114900e-01	1.68765700e-08	-2.99925100e-01	-1.42297800e-08	45
3.16610518e+01	23-06-16 11:52:49	6.72008100e-05	-2.05715200e-09	8.00115200e-01	1.55281100e-08	-2.99925800e-01	-1.32216200e-08	46
3.23335172e+01	23-06-16 11:52:50	6.74516200e-05	-1.72963500e-09	8.00113900e-01	1.36055200e-08	-2.99924900e-01	-1.23155700e-08	47
3.30049472e+01	23-06-16 11:52:50	6.68663900e-05	-1.56422400e-09	8.00114800e-01	1.36994700e-08	-2.99925100e-01	-1.15874700e-08	48
3.36779506e+01	23-06-16 11:52:51	6.81209800e-05	-1.42948900e-09	8.00113500e-01	1.24748500e-08	-2.99926000e-01	-1.10112700e-08	49
3.43484840e+01	23-06-16 11:52:52	6.71171300e-05	-1.27377100e-09	8.00114300e-01	1.19293400e-08	-2.99924600e-01	-1.04816100e-08	50
3.50200971e+01	23-06-16 11:52:52	6.75354100e-05	-1.18307600e-09	8.00113500e-01	1.13888600e-08	-2.99924300e-01	-1.00797500e-08	51
3.56918080e+01	23-06-16 11:52:53	6.78699300e-05	-1.09567900e-09	8.00113900e-01	1.09397900e-08	-2.99924500e-01	-9.71737200e-09	52
3.63637946e+01	23-06-16 11:52:54	6.70336800e-05	-1.01982700e-09	8.00113600e-01	1.04961100e-08	-2.99923500e-01	-9.41743000e-09	53
3.70357902e+01	23-06-16 11:52:54	6.77026700e-05	-9.76546300e-10	8.00114000e-01	1.01806300e-08	-2.99928100e-01	-7.79872800e-09	54
3.77074410e+01	23-06-16 11:52:55	6.61970400e-05	-9.33652800e-10	8.00114600e-01	9.91967000e-09	-2.99924000e-01	-8.82178500e-09	55
3.83794496e+01	23-06-16 11:52:56	6.78700700e-05	-8.63583600e-10	8.00113600e-01	9.65654300e-09	-2.99923400e-01	-8.61429300e-09	56
3.90515939e+01	23-06-16 11:52:56	6.66988200e-05	-8.00287800e-10	8.00113100e-01	9.57441100e-09	-2.99925300e-01	-8.53562000e-09	57
3.97233818e+01	23-06-16 11:52:57	6.82881800e-05	-7.96364800e-10	8.00113900e-01	9.18017900e-09	-2.99922800e-01	-8.19216900e-09	58
4.03953285e+01	23-06-16 11:52:58	6.77027300e-05	-7.82097800e-10	8.00112500e-01	8.89090600e-09	-2.99925700e-01	-7.79081100e-09	59
4.10668442e+01	23-06-16 11:52:58	6.68663200e-05	-7.84591300e-10	8.00114900e-01	9.18882500e-09	-2.99924500e-01	-8.13604900e-09	60
4.17389007e+01	23-06-16 11:52:59	6.80370700e-05	-7.25988300e-10	8.00114900e-01	1.02110800e-08	-2.99923500e-01	-8.07932900e-09	61
4.24109503e+01	23-06-16 11:53:00	6.91247700e-05	-7.78136400e-10	8.00113400e-01	8.65474100e-09	-2.99924800e-01	-6.93575700e-09	62
4.30825912e+01	23-06-16 11:53:00	6.78699300e-05	-7.11325700e-10	8.00113400e-01	8.44049700e-09	-2.99924900e-01	-7.43798400e-09	63
4.37543850e+01	23-06-16 11:53:01	6.72008900e-05	-6.53248500e-10	8.00113600e-01	8.32306600e-09	-2.99928400e-01	-8.66005800e-09	64
