Time elapsed	Time stamp	source Voltage	source Current	source Resistance	trans_drain Voltage	trans_drain Current	trans_drain Resistance	trans_gate Voltage	trans_gate Current	trans_gate Resistance
s		V	A	V/A	V	A	V/A	V	A	V/A

1.24886584e+02	2023-02-13T17:58:20.257642	6.11125200e-05	-4.47126500e-07	-1.36678367e+02	-9.99406400e-02	-4.63046300e-09	2.15832931e+07	7.00098300e-01	4.28415800e-07	1.63415612e+06
1.25818482e+02	2023-02-13T17:58:21.189694	6.22002100e-05	-4.50647900e-07	-1.38023965e+02	-9.99445600e-02	-5.72265700e-09	1.74647126e+07	7.50084700e-01	4.33578600e-07	1.72998552e+06
1.26755730e+02	2023-02-13T17:58:22.126747	6.04431000e-05	-4.62173500e-07	-1.30780107e+02	-9.99437900e-02	-7.26940500e-09	1.37485516e+07	8.00080400e-01	4.30645100e-07	1.85786486e+06
1.27693408e+02	2023-02-13T17:58:23.064800	6.22002300e-05	-4.38312000e-07	-1.41908572e+02	-9.99473500e-02	-9.63051800e-09	1.03781905e+07	8.50078200e-01	4.41912600e-07	1.92363422e+06
1.28630953e+02	2023-02-13T17:58:24.001853	6.17818400e-05	-4.45021400e-07	-1.38828919e+02	-9.99431100e-02	-1.35409300e-08	7.38081579e+06	9.00105400e-01	4.42084200e-07	2.03604969e+06
1.29568384e+02	2023-02-13T17:58:24.939906	6.25348800e-05	-4.44376300e-07	-1.40725057e+02	-9.99430300e-02	-1.38730100e-08	7.20413450e+06	9.50107500e-01	4.46571800e-07	2.12755821e+06
1.30510959e+02	2023-02-13T17:58:25.881960	6.22002000e-05	-4.46961300e-07	-1.39162384e+02	-9.99474400e-02	-1.64160400e-08	6.08840134e+06	1.00011400e+00	4.70230100e-07	2.12686087e+06
1.31443401e+02	2023-02-13T17:58:26.815013	6.27022200e-05	-4.75101700e-07	-1.31976417e+02	-9.99481200e-02	-2.20507600e-08	4.53263833e+06	1.05011000e+00	5.06452800e-07	2.07346075e+06
1.32380780e+02	2023-02-13T17:58:27.752066	6.57977800e-05	-4.95379600e-07	-1.32822950e+02	-9.99431900e-02	-2.27202900e-08	4.39885186e+06	1.10011400e+00	5.27955100e-07	2.08372644e+06
1.33741185e+02	2023-02-13T17:58:29.112143	6.68018400e-05	-5.63248100e-07	-1.18601092e+02	-9.99491300e-02	-2.59796300e-08	3.84721145e+06	1.15015000e+00	5.82455500e-07	1.97465729e+06
1.34865209e+02	2023-02-13T17:58:30.236206	6.54630800e-05	-7.42312300e-07	-8.81880578e+01	-9.99514600e-02	-2.44058700e-08	4.09538607e+06	1.20014700e+00	7.77015100e-07	1.54456072e+06
1.35996236e+02	2023-02-13T17:58:31.367271	6.62161800e-05	-1.07574900e-06	-6.15535594e+01	-9.99458600e-02	-2.64490800e-08	3.77880289e+06	1.25014500e+00	1.06407000e-06	1.17487101e+06
1.37098264e+02	2023-02-13T17:58:32.469333	6.57141600e-05	-1.02336700e-06	-6.42136790e+01	-9.99443500e-02	-2.26074300e-08	4.42086296e+06	1.25014600e+00	1.02325100e-06	1.22173934e+06
1.37724536e+02	2023-02-13T17:58:33.095369	6.66345300e-05	-7.15153200e-07	-9.31751826e+01	-9.99461800e-02	-2.09059900e-08	4.78074370e+06	1.20014600e+00	7.28888000e-07	1.64654378e+06
1.38849449e+02	2023-02-13T17:58:34.220432	6.67181800e-05	-5.79692000e-07	-1.15092463e+02	-9.99426700e-02	-1.67237700e-08	5.97608494e+06	1.15015000e+00	5.88810400e-07	1.95334525e+06
1.39975469e+02	2023-02-13T17:58:35.346496	6.69691500e-05	-5.12122700e-07	-1.30767783e+02	-9.99445300e-02	-1.51223900e-08	6.60904328e+06	1.10011400e+00	5.19410200e-07	2.11800615e+06
1.41099552e+02	2023-02-13T17:58:36.470560	6.68018100e-05	-4.72866700e-07	-1.41269855e+02	-9.99458200e-02	-1.26618500e-08	7.89346107e+06	1.05010800e+00	4.84549700e-07	2.16718326e+06
