Time elapsed	Time stamp	out_gate Voltage	out_gate Current	out_gate Resistance	out_drain Voltage	out_drain Current	out_drain Resistance
s		V	A	V/A	V	A	V/A

1.67902108e+01	2023-03-02T16:53:41.780292	-5.99927300e-01	-1.41277600e-07	4.24644317e+06	2.50936600e-02	2.43252600e-06	1.03158856e+04
1.74117632e+01	2023-03-02T16:53:42.401330	-5.99910600e-01	-1.24177200e-07	4.83108493e+06	7.32935400e-05	-2.97876500e-06	-2.46053448e+01
1.80366561e+01	2023-03-02T16:53:43.026370	-5.99872700e-01	-1.19036100e-07	5.03941829e+06	-2.49466200e-02	-8.34604900e-06	2.98903349e+03
1.85366320e+01	2023-03-02T16:53:43.526402	-5.99918300e-01	-1.10320300e-07	5.43796835e+06	-4.99421100e-02	-1.36333500e-05	3.66323097e+03
1.90363578e+01	2023-03-02T16:53:44.026432	-5.99864100e-01	-1.09630800e-07	5.47167493e+06	-7.49859500e-02	-1.90437800e-05	3.93755599e+03
1.95398095e+01	2023-03-02T16:53:44.529465	-5.99884900e-01	-1.01284200e-07	5.92278855e+06	-9.99980000e-02	-2.44472200e-05	4.09036283e+03
2.00367251e+01	2023-03-02T16:53:45.026496	-5.99876800e-01	-9.63578300e-08	6.22551172e+06	-1.24943500e-01	-2.97708300e-05	4.19684302e+03
2.05520313e+01	2023-03-02T16:53:45.541528	-5.99943500e-01	-9.00869400e-08	6.65960571e+06	-1.49915400e-01	-3.49766600e-05	4.28615540e+03
2.10682226e+01	2023-03-02T16:53:46.058561	-5.99914600e-01	-9.19794400e-08	6.52226845e+06	-1.74892800e-01	-4.03426100e-05	4.33518803e+03
2.14280758e+01	2023-03-02T16:53:46.417584	-5.99922400e-01	-9.15048000e-08	6.55618503e+06	-1.99908700e-01	-4.60111300e-05	4.34479005e+03
2.17865579e+01	2023-03-02T16:53:46.776607	-5.99901900e-01	-8.57526200e-08	6.99572678e+06	-2.24916300e-01	-5.14815800e-05	4.36886941e+03
2.21458820e+01	2023-03-02T16:53:47.135629	-5.99939100e-01	-7.92438200e-08	7.57079984e+06	-2.49944500e-01	-5.68601300e-05	4.39577785e+03
2.26470523e+01	2023-03-02T16:53:47.636661	-5.99918600e-01	-7.99126600e-08	7.50717846e+06	-2.74958100e-01	-6.19653400e-05	4.43728865e+03
2.31475037e+01	2023-03-02T16:53:48.137693	-5.99914000e-01	-8.27997800e-08	7.24535742e+06	-2.99922200e-01	-6.81092500e-05	4.40354577e+03
2.36458174e+01	2023-03-02T16:53:48.635724	-5.99956500e-01	-9.05094500e-08	6.62866143e+06	-3.24939800e-01	-7.32008600e-05	4.43901615e+03
