Time elapsed	Time stamp	Fixed_drain Voltage	Fixed_drain Current	Fixed_drain Resistance	Fixed_ZeroGate Voltage	Fixed_ZeroGate Current	Fixed_ZeroGate Resistance	Loop Index
s		V	A	V/A	V	A	V/A	

2.86611348e+00	2023-07-17T12:56:32.180641	-1.00000000e-01	-1.29850000e-04	7.70119369e+02	0.00000000e+00	1.35120000e-07	0.00000000e+00	33
2.93375541e+00	2023-07-17T12:56:32.250609	-1.00000000e-01	-1.29790000e-04	7.70475383e+02	0.00000000e+00	1.94030000e-07	0.00000000e+00	34
2.99706420e+00	2023-07-17T12:56:32.310697	-1.00000000e-01	-1.29850000e-04	7.70119369e+02	0.00000000e+00	1.99630000e-07	0.00000000e+00	35
3.05081893e+00	2023-07-17T12:56:32.370608	-1.00000000e-01	-1.29850000e-04	7.70119369e+02	0.00000000e+00	1.37340000e-07	0.00000000e+00	36
3.11080793e+00	2023-07-17T12:56:32.430609	-1.00000000e-01	-1.29980000e-04	7.69349131e+02	0.00000000e+00	2.06520000e-07	0.00000000e+00	37
3.17129785e+00	2023-07-17T12:56:32.490611	-1.00000000e-01	-1.29920000e-04	7.69704433e+02	0.00000000e+00	1.63040000e-07	0.00000000e+00	38
3.23082039e+00	2023-07-17T12:56:32.550611	-1.00000000e-01	-1.29920000e-04	7.69704433e+02	0.00000000e+00	1.60550000e-07	0.00000000e+00	39
3.29105718e+00	2023-07-17T12:56:32.610655	-1.00000000e-01	-1.30040000e-04	7.68994156e+02	0.00000000e+00	2.50080000e-07	0.00000000e+00	40
3.35582403e+00	2023-07-17T12:56:32.670634	-1.00000000e-01	-1.29980000e-04	7.69349131e+02	0.00000000e+00	2.12330000e-07	0.00000000e+00	41
3.42099006e+00	2023-07-17T12:56:32.740612	-1.00000000e-01	-1.30100000e-04	7.68639508e+02	0.00000000e+00	1.74710000e-07	0.00000000e+00	42
3.47416263e+00	2023-07-17T12:56:32.790635	-1.00000000e-01	-1.30040000e-04	7.68994156e+02	0.00000000e+00	2.47020000e-07	0.00000000e+00	43
3.53912928e+00	2023-07-17T12:56:32.850636	-1.00000000e-01	-1.30040000e-04	7.68994156e+02	0.00000000e+00	1.73890000e-07	0.00000000e+00	44
3.60264608e+00	2023-07-17T12:56:32.920617	-1.00000000e-01	-1.30040000e-04	7.68994156e+02	0.00000000e+00	1.53670000e-07	0.00000000e+00	45
3.67948186e+00	2023-07-17T12:56:32.990638	-1.00000000e-01	-1.30100000e-04	7.68639508e+02	0.00000000e+00	2.14880000e-07	0.00000000e+00	46
3.78524650e+00	2023-07-17T12:56:33.100638	-1.00000000e-01	-1.30100000e-04	7.68639508e+02	0.00000000e+00	1.68400000e-07	0.00000000e+00	47
3.86091183e+00	2023-07-17T12:56:33.180644	-1.00000000e-01	-1.30230000e-04	7.67872226e+02	0.00000000e+00	2.28210000e-07	0.00000000e+00	48
3.92087047e+00	2023-07-17T12:56:33.240616	-1.00000000e-01	-1.30230000e-04	7.67872226e+02	0.00000000e+00	1.91040000e-07	0.00000000e+00	49
3.98796388e+00	2023-07-17T12:56:33.300638	-1.00000000e-01	-1.30230000e-04	7.67872226e+02	0.00000000e+00	1.43220000e-07	0.00000000e+00	50
4.05885217e+00	2023-07-17T12:56:33.370701	-1.00000000e-01	-1.30230000e-04	7.67872226e+02	0.00000000e+00	2.06340000e-07	0.00000000e+00	51
4.12090846e+00	2023-07-17T12:56:33.440618	-1.00000000e-01	-1.30290000e-04	7.67518612e+02	0.00000000e+00	2.33630000e-07	0.00000000e+00	52
4.17960925e+00	2023-07-17T12:56:33.490650	-1.00000000e-01	-1.30230000e-04	7.67872226e+02	0.00000000e+00	1.63300000e-07	0.00000000e+00	53
4.25175457e+00	2023-07-17T12:56:33.570618	-1.00000000e-01	-1.30230000e-04	7.67872226e+02	0.00000000e+00	1.88230000e-07	0.00000000e+00	54
4.33285826e+00	2023-07-17T12:56:33.650669	-1.00000000e-01	-1.30360000e-04	7.67106474e+02	0.00000000e+00	2.11380000e-07	0.00000000e+00	55
4.44681409e+00	2023-07-17T12:56:33.760653	-1.00000000e-01	-1.30360000e-04	7.67106474e+02	0.00000000e+00	1.66990000e-07	0.00000000e+00	56
4.50899304e+00	2023-07-17T12:56:33.820706	-1.00000000e-01	-1.30420000e-04	7.66753565e+02	0.00000000e+00	2.45730000e-07	0.00000000e+00	57
4.57091968e+00	2023-07-17T12:56:33.890621	-1.00000000e-01	-1.30480000e-04	7.66400981e+02	0.00000000e+00	1.52010000e-07	0.00000000e+00	58
4.63901863e+00	2023-07-17T12:56:33.950759	-1.00000000e-01	-1.30360000e-04	7.67106474e+02	0.00000000e+00	1.81330000e-07	0.00000000e+00	59
4.70039676e+00	2023-07-17T12:56:34.020655	-1.00000000e-01	-1.30480000e-04	7.66400981e+02	0.00000000e+00	2.52890000e-07	0.00000000e+00	60
4.77080300e+00	2023-07-17T12:56:34.090623	-1.00000000e-01	-1.30420000e-04	7.66753565e+02	0.00000000e+00	1.59920000e-07	0.00000000e+00	61
4.82411917e+00	2023-07-17T12:56:34.140645	-1.00000000e-01	-1.30480000e-04	7.66400981e+02	0.00000000e+00	1.60620000e-07	0.00000000e+00	62
4.87917318e+00	2023-07-17T12:56:34.190646	-1.00000000e-01	-1.30420000e-04	7.66753565e+02	0.00000000e+00	2.49320000e-07	0.00000000e+00	63
4.93102433e+00	2023-07-17T12:56:34.250624	-1.00000000e-01	-1.30480000e-04	7.66400981e+02	0.00000000e+00	1.48250000e-07	0.00000000e+00	64
4.99428963e+00	2023-07-17T12:56:34.310647	-1.00000000e-01	-1.30540000e-04	7.66048721e+02	0.00000000e+00	2.08060000e-07	0.00000000e+00	65
5.05975925e+00	2023-07-17T12:56:34.370673	-1.00000000e-01	-1.30540000e-04	7.66048721e+02	0.00000000e+00	2.30510000e-07	0.00000000e+00	66
5.13428201e+00	2023-07-17T12:56:34.450672	-1.00000000e-01	-1.30540000e-04	7.66048721e+02	0.00000000e+00	1.73820000e-07	0.00000000e+00	67
5.22541648e+00	2023-07-17T12:56:34.540660	-1.00000000e-01	-1.30540000e-04	7.66048721e+02	0.00000000e+00	1.51570000e-07	0.00000000e+00	68
5.31084551e+00	2023-07-17T12:56:34.630627	-1.00000000e-01	-1.30540000e-04	7.66048721e+02	0.00000000e+00	1.36890000e-07	0.00000000e+00	69
5.36652312e+00	2023-07-17T12:56:34.680661	-1.00000000e-01	-1.30540000e-04	7.66048721e+02	0.00000000e+00	2.04410000e-07	0.00000000e+00	70
5.45125717e+00	2023-07-17T12:56:34.770628	-1.00000000e-01	-1.30610000e-04	7.65638159e+02	0.00000000e+00	2.40500000e-07	0.00000000e+00	71
5.51866566e+00	2023-07-17T12:56:34.830655	-1.00000000e-01	-1.30610000e-04	7.65638159e+02	0.00000000e+00	1.90590000e-07	0.00000000e+00	72
5.58100584e+00	2023-07-17T12:56:34.900629	-1.00000000e-01	-1.30610000e-04	7.65638159e+02	0.00000000e+00	1.83960000e-07	0.00000000e+00	73
5.65270521e+00	2023-07-17T12:56:34.970634	-1.00000000e-01	-1.30540000e-04	7.66048721e+02	0.00000000e+00	2.07170000e-07	0.00000000e+00	74
5.71430857e+00	2023-07-17T12:56:35.030662	-1.00000000e-01	-1.30610000e-04	7.65638159e+02	0.00000000e+00	2.34250000e-07	0.00000000e+00	75
5.80071811e+00	2023-07-17T12:56:35.120634	-1.00000000e-01	-1.30730000e-04	7.64935363e+02	0.00000000e+00	1.77060000e-07	0.00000000e+00	76
5.86618691e+00	2023-07-17T12:56:35.180666	-1.00000000e-01	-1.30670000e-04	7.65286600e+02	0.00000000e+00	1.52390000e-07	0.00000000e+00	77
5.92301611e+00	2023-07-17T12:56:35.240715	-1.00000000e-01	-1.30670000e-04	7.65286600e+02	0.00000000e+00	2.54530000e-07	0.00000000e+00	78
5.98723937e+00	2023-07-17T12:56:35.300632	-1.00000000e-01	-1.30610000e-04	7.65638159e+02	0.00000000e+00	1.51060000e-07	0.00000000e+00	79
6.05315289e+00	2023-07-17T12:56:35.370655	-1.00000000e-01	-1.30670000e-04	7.65286600e+02	0.00000000e+00	1.68470000e-07	0.00000000e+00	80
6.12748405e+00	2023-07-17T12:56:35.440666	-1.00000000e-01	-1.30730000e-04	7.64935363e+02	0.00000000e+00	1.95050000e-07	0.00000000e+00	81
6.19675101e+00	2023-07-17T12:56:35.510667	-1.00000000e-01	-1.30670000e-04	7.65286600e+02	0.00000000e+00	2.50400000e-07	0.00000000e+00	82
6.26081591e+00	2023-07-17T12:56:35.580634	-1.00000000e-01	-1.30860000e-04	7.64175455e+02	0.00000000e+00	1.41370000e-07	0.00000000e+00	83
6.31562788e+00	2023-07-17T12:56:35.630657	-1.00000000e-01	-1.30730000e-04	7.64935363e+02	0.00000000e+00	2.06090000e-07	0.00000000e+00	84
6.37052025e+00	2023-07-17T12:56:35.690665	-1.00000000e-01	-1.30800000e-04	7.64525994e+02	0.00000000e+00	2.36950000e-07	0.00000000e+00	85
6.48427178e+00	2023-07-17T12:56:35.800636	-1.00000000e-01	-1.30860000e-04	7.64175455e+02	0.00000000e+00	2.50970000e-07	0.00000000e+00	86
6.54277031e+00	2023-07-17T12:56:35.860673	-1.00000000e-01	-1.30730000e-04	7.64935363e+02	0.00000000e+00	1.50170000e-07	0.00000000e+00	87
6.62088282e+00	2023-07-17T12:56:35.940670	-1.00000000e-01	-1.30730000e-04	7.64935363e+02	0.00000000e+00	1.30460000e-07	0.00000000e+00	88
6.71085585e+00	2023-07-17T12:56:36.030660	-1.00000000e-01	-1.30800000e-04	7.64525994e+02	0.00000000e+00	1.67380000e-07	0.00000000e+00	89
6.78108978e+00	2023-07-17T12:56:36.100690	-1.00000000e-01	-1.30920000e-04	7.63825237e+02	0.00000000e+00	2.24510000e-07	0.00000000e+00	90
6.85274936e+00	2023-07-17T12:56:36.170643	-1.00000000e-01	-1.30860000e-04	7.64175455e+02	0.00000000e+00	2.51990000e-07	0.00000000e+00	91
6.93088443e+00	2023-07-17T12:56:36.250661	-1.00000000e-01	-1.30800000e-04	7.64525994e+02	0.00000000e+00	1.50290000e-07	0.00000000e+00	92
7.02278567e+00	2023-07-17T12:56:36.340678	-1.00000000e-01	-1.30920000e-04	7.63825237e+02	0.00000000e+00	1.63620000e-07	0.00000000e+00	93
7.08084646e+00	2023-07-17T12:56:36.400673	-1.00000000e-01	-1.30860000e-04	7.64175455e+02	0.00000000e+00	1.59600000e-07	0.00000000e+00	94
7.15092490e+00	2023-07-17T12:56:36.470663	-1.00000000e-01	-1.30860000e-04	7.64175455e+02	0.00000000e+00	2.50020000e-07	0.00000000e+00	95
7.23731311e+00	2023-07-17T12:56:36.550670	-1.00000000e-01	-1.30920000e-04	7.63825237e+02	0.00000000e+00	2.53210000e-07	0.00000000e+00	96
7.33191261e+00	2023-07-17T12:56:36.650675	-1.00000000e-01	-1.30860000e-04	7.64175455e+02	0.00000000e+00	2.45870000e-07	0.00000000e+00	97
7.39904706e+00	2023-07-17T12:56:36.710675	-1.00000000e-01	-1.30980000e-04	7.63475340e+02	0.00000000e+00	1.76440000e-07	0.00000000e+00	98
7.47770890e+00	2023-07-17T12:56:36.790682	-1.00000000e-01	-1.30860000e-04	7.64175455e+02	0.00000000e+00	1.51190000e-07	0.00000000e+00	99
7.57091270e+00	2023-07-17T12:56:36.890673	-1.00000000e-01	-1.30920000e-04	7.63825237e+02	0.00000000e+00	1.34930000e-07	0.00000000e+00	100
7.64121105e+00	2023-07-17T12:56:36.960677	-1.00000000e-01	-1.30980000e-04	7.63475340e+02	0.00000000e+00	2.04750000e-07	0.00000000e+00	101
7.72828274e+00	2023-07-17T12:56:37.040667	-1.00000000e-01	-1.31050000e-04	7.63067531e+02	0.00000000e+00	2.28340000e-07	0.00000000e+00	102
7.78272014e+00	2023-07-17T12:56:37.100672	-1.00000000e-01	-1.31050000e-04	7.63067531e+02	0.00000000e+00	1.95500000e-07	0.00000000e+00	103
7.85393910e+00	2023-07-17T12:56:37.170679	-1.00000000e-01	-1.31050000e-04	7.63067531e+02	0.00000000e+00	1.44110000e-07	0.00000000e+00	104
7.93224279e+00	2023-07-17T12:56:37.250686	-1.00000000e-01	-1.30920000e-04	7.63825237e+02	0.00000000e+00	1.74010000e-07	0.00000000e+00	105
8.04367472e+00	2023-07-17T12:56:37.360670	-1.00000000e-01	-1.30920000e-04	7.63825237e+02	0.00000000e+00	1.50360000e-07	0.00000000e+00	106
8.10424341e+00	2023-07-17T12:56:37.420678	-1.00000000e-01	-1.30980000e-04	7.63475340e+02	0.00000000e+00	2.21130000e-07	0.00000000e+00	107
8.20487820e+00	2023-07-17T12:56:37.520678	-1.00000000e-01	-1.30980000e-04	7.63475340e+02	0.00000000e+00	2.11500000e-07	0.00000000e+00	108
8.28101860e+00	2023-07-17T12:56:37.600650	-1.00000000e-01	-1.30980000e-04	7.63475340e+02	0.00000000e+00	2.51800000e-07	0.00000000e+00	109
8.35410341e+00	2023-07-17T12:56:37.670683	-1.00000000e-01	-1.30980000e-04	7.63475340e+02	0.00000000e+00	2.47850000e-07	0.00000000e+00	110
8.41360748e+00	2023-07-17T12:56:37.730674	-1.00000000e-01	-1.30920000e-04	7.63825237e+02	0.00000000e+00	1.56730000e-07	0.00000000e+00	111
8.47099668e+00	2023-07-17T12:56:37.790677	-1.00000000e-01	-1.31050000e-04	7.63067531e+02	0.00000000e+00	2.18250000e-07	0.00000000e+00	112
8.52428290e+00	2023-07-17T12:56:37.840735	-1.00000000e-01	-1.31050000e-04	7.63067531e+02	0.00000000e+00	1.51110000e-07	0.00000000e+00	113
8.59237734e+00	2023-07-17T12:56:37.910675	-1.00000000e-01	-1.31110000e-04	7.62718328e+02	0.00000000e+00	1.72340000e-07	0.00000000e+00	114
8.65910809e+00	2023-07-17T12:56:37.970675	-1.00000000e-01	-1.31110000e-04	7.62718328e+02	0.00000000e+00	2.34960000e-07	0.00000000e+00	115
8.72081648e+00	2023-07-17T12:56:38.040695	-1.00000000e-01	-1.31170000e-04	7.62369444e+02	0.00000000e+00	1.86130000e-07	0.00000000e+00	116
8.78286660e+00	2023-07-17T12:56:38.100676	-1.00000000e-01	-1.31110000e-04	7.62718328e+02	0.00000000e+00	1.86960000e-07	0.00000000e+00	117
8.83639406e+00	2023-07-17T12:56:38.150676	-1.00000000e-01	-1.31170000e-04	7.62369444e+02	0.00000000e+00	2.54930000e-07	0.00000000e+00	118
8.91089384e+00	2023-07-17T12:56:38.230688	-1.00000000e-01	-1.31170000e-04	7.62369444e+02	0.00000000e+00	1.56350000e-07	0.00000000e+00	119
8.97100714e+00	2023-07-17T12:56:38.290683	-1.00000000e-01	-1.31170000e-04	7.62369444e+02	0.00000000e+00	1.66620000e-07	0.00000000e+00	120
9.05351473e+00	2023-07-17T12:56:38.370689	-1.00000000e-01	-1.31170000e-04	7.62369444e+02	0.00000000e+00	2.24000000e-07	0.00000000e+00	121
9.11592999e+00	2023-07-17T12:56:38.430683	-1.00000000e-01	-1.31110000e-04	7.62718328e+02	0.00000000e+00	2.54230000e-07	0.00000000e+00	122
9.20088763e+00	2023-07-17T12:56:38.520692	-1.00000000e-01	-1.31170000e-04	7.62369444e+02	0.00000000e+00	2.25020000e-07	0.00000000e+00	123
