Time elapsed	Time stamp	Fixed_drain Voltage	Fixed_drain Current	Fixed_drain Resistance	Fixed_ZeroGate Voltage	Fixed_ZeroGate Current	Fixed_ZeroGate Resistance	Loop Index
s		V	A	V/A	V	A	V/A	

4.17845437e-01	2023-07-17T12:03:17.268293	-1.00000000e-01	-1.89400000e-06	5.27983105e+04	0.00000000e+00	9.10800000e-09	0.00000000e+00	1
5.99807507e-01	2023-07-17T12:03:17.450030	-1.00000000e-01	-1.54220000e-06	6.48424329e+04	0.00000000e+00	6.13240000e-09	0.00000000e+00	2
7.40050962e-01	2023-07-17T12:03:17.590446	-1.00000000e-01	-1.44980000e-06	6.89750310e+04	0.00000000e+00	5.58510000e-09	0.00000000e+00	3
8.35132515e-01	2023-07-17T12:03:17.685688	-1.00000000e-01	-1.38660000e-06	7.21188519e+04	0.00000000e+00	5.63890000e-09	0.00000000e+00	4
9.13966253e-01	2023-07-17T12:03:17.764904	-1.00000000e-01	-1.36460000e-06	7.32815477e+04	0.00000000e+00	4.03820000e-09	0.00000000e+00	5
9.91723067e-01	2023-07-17T12:03:17.835622	-1.00000000e-01	-1.32850000e-06	7.52728641e+04	0.00000000e+00	3.83410000e-09	0.00000000e+00	6
1.10266064e+00	2023-07-17T12:03:17.945647	-1.00000000e-01	-1.28210000e-06	7.79970361e+04	0.00000000e+00	4.31290000e-09	0.00000000e+00	7
1.16774749e+00	2023-07-17T12:03:18.015657	-1.00000000e-01	-1.26850000e-06	7.88332676e+04	0.00000000e+00	2.91920000e-09	0.00000000e+00	8
1.25280400e+00	2023-07-17T12:03:18.095624	-1.00000000e-01	-1.24850000e-06	8.00961153e+04	0.00000000e+00	2.76610000e-09	0.00000000e+00	9
1.35942567e+00	2023-07-17T12:03:18.205625	-1.00000000e-01	-1.21940000e-06	8.20075447e+04	0.00000000e+00	3.46650000e-09	0.00000000e+00	10
1.42961940e+00	2023-07-17T12:03:18.275653	-1.00000000e-01	-1.20400000e-06	8.30564784e+04	0.00000000e+00	2.33280000e-09	0.00000000e+00	11
1.51441171e+00	2023-07-17T12:03:18.355650	-1.00000000e-01	-1.18970000e-06	8.40548037e+04	0.00000000e+00	2.06850000e-09	0.00000000e+00	12
1.60531726e+00	2023-07-17T12:03:18.455626	-1.00000000e-01	-1.18390000e-06	8.44665935e+04	0.00000000e+00	2.88280000e-09	0.00000000e+00	13
1.68465725e+00	2023-07-17T12:03:18.535653	-1.00000000e-01	-1.17300000e-06	8.52514919e+04	0.00000000e+00	2.02590000e-09	0.00000000e+00	14
1.78023768e+00	2023-07-17T12:03:18.625657	-1.00000000e-01	-1.16460000e-06	8.58663919e+04	0.00000000e+00	1.58420000e-09	0.00000000e+00	15
1.85538854e+00	2023-07-17T12:03:18.705667	-1.00000000e-01	-1.15750000e-06	8.63930886e+04	0.00000000e+00	2.41380000e-09	0.00000000e+00	16
1.95344979e+00	2023-07-17T12:03:18.795657	-1.00000000e-01	-1.15490000e-06	8.65875833e+04	0.00000000e+00	1.78690000e-09	0.00000000e+00	17
