Time elapsed	Time stamp	source Voltage	source Current	source Resistance	trans_drain Voltage	trans_drain Current	trans_drain Resistance	trans_gate Voltage	trans_gate Current	trans_gate Resistance
s		V	A	V/A	V	A	V/A	V	A	V/A

1.07387282e+02	2023-02-13T17:38:45.343180	6.86422200e-05	1.03914100e-06	6.60566949e+01	-9.99453900e-02	-4.09661900e-08	2.43970430e+06	-9.99953600e-01	-9.05871500e-07	1.10385811e+06
1.08505435e+02	2023-02-13T17:38:46.461242	6.75545800e-05	4.62931800e-07	1.45927715e+02	-9.99389900e-02	-3.52172900e-08	2.83778195e+06	-9.49912400e-01	-4.92986100e-07	1.92685433e+06
1.09900290e+02	2023-02-13T17:38:47.856322	7.12359000e-05	2.81684600e-07	2.52892419e+02	-9.99436600e-02	-3.60951900e-08	2.76889137e+06	-8.99913700e-01	-2.57271600e-07	3.49791310e+06
1.11287210e+02	2023-02-13T17:38:49.243400	6.67178200e-05	1.29280400e-07	5.16070650e+02	-9.99616200e-02	-3.11671400e-08	3.20727600e+06	-8.49920800e-01	-1.23996200e-07	6.85441005e+06
1.12442853e+02	2023-02-13T17:38:50.398465	6.69688900e-05	4.65835500e-08	1.43760813e+03	-9.99550600e-02	-2.97932800e-08	3.35495320e+06	-7.99917500e-01	-4.33025200e-08	1.84727702e+07
1.13599104e+02	2023-02-13T17:38:51.554531	6.66341800e-05	6.78504700e-09	9.82073964e+03	-9.99587300e-02	-2.73520900e-08	3.65451891e+06	-7.97701300e-01	4.09473200e-09	-1.94811602e+08
1.15084211e+02	2023-02-13T17:38:53.039615	6.57138700e-05	-1.06219800e-08	-6.18659327e+03	-9.99549500e-02	-3.40263200e-08	2.93757744e+06	-7.50636400e-01	4.92037300e-09	-1.52556808e+08
1.17145785e+02	2023-02-13T17:38:55.101731	6.64669000e-05	-4.83523400e-08	-1.37463668e+03	-9.99458600e-02	-2.50878500e-08	3.98383520e+06	-6.49908800e-01	3.54615600e-08	-1.83271351e+07
1.18817502e+02	2023-02-13T17:38:56.773826	6.37058700e-05	-8.61557800e-08	-7.39426536e+02	-9.99348700e-02	-2.64482000e-08	3.77851309e+06	-5.99919600e-01	4.04142700e-08	-1.48442518e+07
1.19973993e+02	2023-02-13T17:38:57.929892	6.54628700e-05	-8.51912400e-08	-7.68422551e+02	-9.99586400e-02	-2.14916300e-08	4.65104973e+06	-5.49922300e-01	5.98558700e-08	-9.18744143e+06
1.21131253e+02	2023-02-13T17:38:59.086957	6.37895500e-05	-1.22222600e-07	-5.21912887e+02	-9.99475300e-02	-2.74901200e-08	3.63576187e+06	-4.99931100e-01	8.33487400e-08	-5.99806428e+06
1.22286580e+02	2023-02-13T17:39:00.242022	6.28691700e-05	-2.44525800e-07	-2.57106489e+02	-9.99375000e-02	-2.38366800e-08	4.19259310e+06	-4.49942000e-01	1.85759600e-07	-2.42217361e+06
1.23442864e+02	2023-02-13T17:39:01.399088	6.64669500e-05	-4.66508600e-07	-1.42477438e+02	-9.99479200e-02	-1.81759000e-08	5.49892550e+06	-3.99913000e-01	9.21767700e-08	-4.33854430e+06
1.24817754e+02	2023-02-13T17:39:02.773166	6.52955900e-05	-8.60514500e-08	-7.58797092e+02	-9.99462400e-02	-2.32620400e-08	4.29653805e+06	-3.49915600e-01	8.67369200e-08	-4.03421749e+06
1.26208477e+02	2023-02-13T17:39:04.164245	6.50445900e-05	-1.09382800e-07	-5.94650987e+02	-9.99571400e-02	-1.98311000e-08	5.04042338e+06	-2.99926900e-01	8.28090800e-08	-3.62190837e+06
1.27364749e+02	2023-02-13T17:39:05.320310	6.47098600e-05	-1.19643500e-07	-5.40855625e+02	-9.99460700e-02	-1.68419700e-08	5.93434557e+06	-2.49930400e-01	7.86289300e-08	-3.17860614e+06
1.28521002e+02	2023-02-13T17:39:06.476375	6.43752900e-05	-1.18627500e-07	-5.42667510e+02	-9.99555200e-02	-1.91412400e-08	5.22199816e+06	-1.99931800e-01	7.15446200e-08	-2.79450502e+06
1.29692835e+02	2023-02-13T17:39:07.648442	6.38732400e-05	-1.29383800e-07	-4.93672624e+02	-9.99493900e-02	-1.72248900e-08	5.80261412e+06	-1.49936100e-01	8.50325300e-08	-1.76327930e+06
1.30849101e+02	2023-02-13T17:39:08.804508	6.32875600e-05	-1.45375500e-07	-4.35338554e+02	-9.99473000e-02	-2.01391800e-08	4.96282868e+06	-9.99419000e-02	8.82189500e-08	-1.13288471e+06
