[SUMMARY]
Software Information
Software Name:	UVProbe
Version:	2.43
Mode:	Normal Mode

Data Information
Data is:	Original
Analyst:	
Date/Time:	05/04/2023 12:19:09
Comments:	

Instrument Information
Instrument Name:	SolidSpec3700
Instrument Type:	SolidSpec-3700 Series
Model (S/N):	SolidSpec3700 ( A11085100264CZ )

[METHOD]
[Measurement Properties]
Wavelength Range (nm.):	285,00 to 1600,00
Scan Speed:	Medium
Sampling Interval:	1,0
Auto Sampling Interval:	Disabled
Scan Mode:	Single

[Sample Preparation Properties]
Weight:	
Volume:	
Dilution:	
Path Length:	
Additional Information:	

[Instrument Properties]
Instrument Type:	SolidSpec-3700 Series
Measuring Mode:	Reflectance
Slit Width:	5,0 nm
Time Constant:	1,0 sec.
Source Lamp:	Auto
Light Source Change Wavelength:	282,00 nm
Detector Unit:	Integral Sphere
Detector Change Wavelength:	900,00 nm  1650,00 nm
Grating Change Wavelength:	1000,00 nm
S/R Exchange:	Inverse
Detector Lock:	Auto
Slit Program:	Fixed
Beam Mode:	Double
Stair Correction:	Disable

[Attachment Properties]
Attachment:	X-Y Stage
Sequence File:	R_robot_16-100-P1_optical_pads.xys

[Operation]
Threshold:	0,0010000
Points:	4
InterPolate:	Disabled
Average:	Disabled

[DATA]
Wavelength	Data
285.0	5.651
286.0	5.639
287.0	5.604
288.0	5.629
289.0	5.664
290.0	5.722
291.0	5.738
292.0	5.758
293.0	5.823
294.0	5.905
295.0	5.932
296.0	5.947
297.0	5.938
298.0	6.039
299.0	6.097
300.0	6.086
301.0	6.071
302.0	6.092
303.0	6.149
304.0	6.164
305.0	6.146
306.0	6.169
307.0	6.174
308.0	6.162
309.0	6.125
310.0	6.101
311.0	6.141
312.0	6.180
313.0	6.220
314.0	6.191
315.0	6.182
316.0	6.132
317.0	6.121
318.0	6.090
319.0	6.095
320.0	6.055
321.0	6.065
322.0	6.045
323.0	6.046
324.0	5.999
325.0	5.990
326.0	5.969
327.0	5.958
328.0	5.929
329.0	5.937
330.0	5.926
331.0	5.912
332.0	5.867
333.0	5.821
334.0	5.804
335.0	5.811
336.0	5.796
337.0	5.768
338.0	5.721
339.0	5.729
340.0	5.714
341.0	5.707
342.0	5.672
343.0	5.660
344.0	5.655
345.0	5.650
346.0	5.647
347.0	5.645
348.0	5.653
349.0	5.648
350.0	5.641
351.0	5.665
352.0	5.684
353.0	5.722
354.0	5.714
355.0	5.733
356.0	5.731
357.0	5.760
358.0	5.759
359.0	5.767
360.0	5.780
361.0	5.794
362.0	5.807
363.0	5.813
364.0	5.816
365.0	5.817
366.0	5.829
367.0	5.833
368.0	5.827
369.0	5.807
370.0	5.808
371.0	5.796
372.0	5.776
373.0	5.756
374.0	5.751
375.0	5.747
376.0	5.744
377.0	5.743
378.0	5.729
379.0	5.723
380.0	5.705
381.0	5.683
382.0	5.649
383.0	5.640
384.0	5.631
385.0	5.611
386.0	5.575
387.0	5.553
388.0	5.547
389.0	5.529
390.0	5.502
391.0	5.471
392.0	5.447
393.0	5.421
394.0	5.403
395.0	5.391
396.0	5.379
397.0	5.361
398.0	5.332
399.0	5.316
400.0	5.287
401.0	5.269
402.0	5.246
403.0	5.237
404.0	5.226
405.0	5.219
406.0	5.206
407.0	5.189
408.0	5.167
409.0	5.154
410.0	5.149
411.0	5.147
412.0	5.157
413.0	5.164
414.0	5.188
415.0	5.203
416.0	5.234
417.0	5.254
418.0	5.274
419.0	5.295
420.0	5.326
421.0	5.358
422.0	5.389
423.0	5.408
424.0	5.444
425.0	5.468
426.0	5.503
427.0	5.527
428.0	5.557
429.0	5.589
430.0	5.629
431.0	5.665
432.0	5.695
433.0	5.723
434.0	5.752
435.0	5.783
436.0	5.804
437.0	5.834
438.0	5.865
439.0	5.889
440.0	5.913
441.0	5.937
442.0	5.976
443.0	6.009
444.0	6.047
445.0	6.071
446.0	6.107
447.0	6.136
448.0	6.178
449.0	6.216
450.0	6.250
451.0	6.283
452.0	6.321
453.0	6.358
454.0	6.403
455.0	6.428
456.0	6.462
457.0	6.490
458.0	6.524
459.0	6.560
460.0	6.588
461.0	6.631
462.0	6.662
463.0	6.696
464.0	6.719
465.0	6.747
466.0	6.767
467.0	6.794
468.0	6.814
469.0	6.842
470.0	6.865
471.0	6.899
472.0	6.931
473.0	6.960
474.0	6.978
475.0	7.002
476.0	7.037
477.0	7.063
478.0	7.088
479.0	7.100
480.0	7.123
481.0	7.144
482.0	7.164
483.0	7.189
484.0	7.205
485.0	7.222
486.0	7.240
487.0	7.261
488.0	7.285
489.0	7.304
490.0	7.319
491.0	7.325
492.0	7.340
493.0	7.355
494.0	7.376
495.0	7.394
496.0	7.410
497.0	7.430
498.0	7.443
499.0	7.455
500.0	7.455
501.0	7.470
502.0	7.485
503.0	7.510
504.0	7.512
505.0	7.515
506.0	7.526
507.0	7.546
508.0	7.566
509.0	7.570
510.0	7.573
511.0	7.580
512.0	7.591
513.0	7.598
514.0	7.604
515.0	7.609
516.0	7.615
517.0	7.613
518.0	7.617
519.0	7.618
520.0	7.610
521.0	7.612
522.0	7.612
523.0	7.621
524.0	7.612
525.0	7.608
526.0	7.603
527.0	7.599
528.0	7.590
529.0	7.575
530.0	7.571
531.0	7.567
532.0	7.567
533.0	7.551
534.0	7.523
535.0	7.514
536.0	7.502
537.0	7.500
538.0	7.475
539.0	7.454
540.0	7.438
541.0	7.422
542.0	7.413
543.0	7.396
544.0	7.387
545.0	7.360
546.0	7.332
547.0	7.310
548.0	7.301
549.0	7.290
550.0	7.274
551.0	7.251
552.0	7.226
553.0	7.212
554.0	7.193
555.0	7.185
556.0	7.151
557.0	7.117
558.0	7.080
559.0	7.062
560.0	7.048
561.0	7.033
562.0	7.016
563.0	7.006
564.0	6.989
565.0	6.970
566.0	6.946
567.0	6.929
568.0	6.904
569.0	6.873
570.0	6.845
571.0	6.821
572.0	6.804
573.0	6.785
574.0	6.763
575.0	6.746
576.0	6.727
577.0	6.707
578.0	6.693
579.0	6.666
580.0	6.649
581.0	6.624
582.0	6.611
583.0	6.588
584.0	6.576
585.0	6.564
586.0	6.551
587.0	6.524
588.0	6.498
589.0	6.481
590.0	6.470
591.0	6.457
592.0	6.449
593.0	6.425
594.0	6.421
595.0	6.407
596.0	6.413
597.0	6.394
598.0	6.389
599.0	6.372
600.0	6.353
601.0	6.335
602.0	6.315
603.0	6.315
604.0	6.306
605.0	6.293
606.0	6.283
607.0	6.266
608.0	6.275
609.0	6.255
610.0	6.250
611.0	6.228
612.0	6.226
613.0	6.217
614.0	6.224
615.0	6.218
616.0	6.206
617.0	6.193
618.0	6.191
619.0	6.188
620.0	6.174
621.0	6.154
622.0	6.155
623.0	6.157
624.0	6.158
625.0	6.149
626.0	6.140
627.0	6.141
628.0	6.140
629.0	6.138
630.0	6.131
631.0	6.128
632.0	6.125
633.0	6.123
634.0	6.120
635.0	6.126
636.0	6.124
637.0	6.128
638.0	6.124
639.0	6.110
640.0	6.108
641.0	6.099
642.0	6.095
643.0	6.099
644.0	6.116
645.0	6.136
646.0	6.129
647.0	6.127
648.0	6.129
649.0	6.139
650.0	6.125
651.0	6.123
652.0	6.126
653.0	6.142
654.0	6.154
655.0	6.153
656.0	6.156
657.0	6.155
658.0	6.158
659.0	6.150
660.0	6.143
661.0	6.143
662.0	6.147
663.0	6.157
664.0	6.151
665.0	6.155
666.0	6.165
667.0	6.175
668.0	6.186
669.0	6.202
670.0	6.217
671.0	6.235
672.0	6.239
673.0	6.259
674.0	6.272
675.0	6.284
676.0	6.279
677.0	6.278
678.0	6.284
679.0	6.299
680.0	6.318
681.0	6.334
682.0	6.333
683.0	6.344
684.0	6.341
685.0	6.378
686.0	6.387
687.0	6.409
688.0	6.405
689.0	6.413
690.0	6.427
691.0	6.432
692.0	6.438
693.0	6.433
694.0	6.454
695.0	6.474
696.0	6.495
697.0	6.497
698.0	6.504
699.0	6.513
700.0	6.530
701.0	6.532
702.0	6.549
703.0	6.549
704.0	6.569
705.0	6.579
706.0	6.598
707.0	6.606
708.0	6.603
709.0	6.615
710.0	6.653
711.0	6.661
712.0	6.664
713.0	6.653
714.0	6.698
715.0	6.729
716.0	6.743
717.0	6.720
718.0	6.727
719.0	6.739
720.0	6.780
721.0	6.790
722.0	6.815
723.0	6.807
724.0	6.840
725.0	6.853
726.0	6.886
727.0	6.877
728.0	6.890
729.0	6.884
730.0	6.921
731.0	6.939
732.0	6.970
733.0	6.984
734.0	6.979
735.0	7.005
736.0	7.020
737.0	7.052
738.0	7.050
739.0	7.041
740.0	7.044
741.0	7.058
742.0	7.073
743.0	7.096
744.0	7.127
745.0	7.174
746.0	7.195
747.0	7.188
748.0	7.181
749.0	7.175
750.0	7.184
751.0	7.210
752.0	7.249
753.0	7.270
754.0	7.281
755.0	7.282
756.0	7.304
757.0	7.319
758.0	7.328
759.0	7.359
760.0	7.356
761.0	7.381
