Time elapsed	Time stamp	source Voltage	source Current	source Resistance	trans_drain Voltage	trans_drain Current	trans_drain Resistance	trans_gate Voltage	trans_gate Current	trans_gate Resistance
s		V	A	V/A	V	A	V/A	V	A	V/A

8.74401686e-01	2023-02-13T17:36:58.821704	7.40806000e-05	4.72061800e-06	1.56929877e+01	-2.99963700e-01	-5.28340100e-08	5.67747366e+06	-9.99954900e-01	-1.76825600e-06	5.65503468e+05
3.20866481e+00	2023-02-13T17:37:01.164222	6.82238900e-05	7.38314500e-07	9.24049169e+01	-2.99970400e-01	-6.23557400e-08	4.81063010e+06	-9.49912700e-01	-5.98877700e-07	1.58615474e+06
4.33351936e+00	2023-02-13T17:37:02.284456	7.35786000e-05	3.14038300e-07	2.34298173e+02	-2.99969400e-01	-7.53301500e-08	3.98206296e+06	-8.99910900e-01	-2.46658700e-07	3.64840527e+06
5.72444584e+00	2023-02-13T17:37:03.679843	6.73035000e-05	1.51462800e-07	4.44356634e+02	-2.99971300e-01	-6.61394300e-08	4.53543824e+06	-8.49918400e-01	-1.12038400e-07	7.58595624e+06
6.88269267e+00	2023-02-13T17:37:04.838910	6.98136300e-05	8.98941100e-08	7.76620737e+02	-2.99964000e-01	-6.77700500e-08	4.42620302e+06	-7.99918200e-01	-5.30142000e-08	1.50887536e+07
8.05240488e+00	2023-02-13T17:37:06.007975	6.21160900e-05	7.12279200e-08	8.72075023e+02	-2.99967900e-01	-6.14534000e-08	4.88122545e+06	-7.49921700e-01	-1.64715600e-08	4.55282742e+07
9.98941560e+00	2023-02-13T17:37:07.945084	5.80162500e-05	3.58668100e-08	1.61754697e+03	-2.99969500e-01	-6.58875400e-08	4.55275003e+06	-8.59973300e-01	4.20046300e-08	-2.04732978e+07
1.16930678e+01	2023-02-13T17:37:09.649181	6.70524900e-05	8.63255800e-08	7.76739525e+02	-2.99970500e-01	-1.49225600e-07	2.01018123e+06	-6.49902300e-01	1.80271600e-08	-3.60512859e+07
1.33696904e+01	2023-02-13T17:37:11.325276	6.32037900e-05	7.30924700e-08	8.64710004e+02	-2.99961200e-01	-1.37893600e-07	2.17530908e+06	-5.99908000e-01	1.99524000e-08	-3.00669594e+07
1.53067158e+01	2023-02-13T17:37:13.262387	6.53791400e-05	4.68232800e-08	1.39629560e+03	-2.99961200e-01	-1.45952500e-07	2.05519741e+06	-5.49918900e-01	2.97275300e-08	-1.84986408e+07
1.67395648e+01	2023-02-13T17:37:14.695011	6.94789500e-05	1.06515300e-07	6.52290798e+02	-2.99965900e-01	-1.66020600e-07	1.80679928e+06	-4.99930400e-01	5.34224400e-08	-9.35806002e+06
1.84117696e+01	2023-02-13T17:37:16.367106	5.65103600e-05	4.20576000e-09	1.34364205e+04	-2.99971500e-01	-1.75461700e-07	1.70961241e+06	-4.49938400e-01	1.44561400e-07	-3.11243804e+06
1.98493820e+01	2023-02-13T17:37:17.805187	6.59650300e-05	-2.95284200e-07	-2.23395055e+02	-2.99968200e-01	-1.42459000e-07	2.10564583e+06	-3.99914200e-01	1.28440100e-07	-3.11362417e+06
2.12555449e+01	2023-02-13T17:37:19.211266	7.60887500e-05	4.72000600e-08	1.61204774e+03	-2.99963300e-01	-1.80529700e-07	1.66157314e+06	-3.49916800e-01	6.45111300e-08	-5.42413069e+06
2.29326597e+01	2023-02-13T17:37:20.888362	7.11523200e-05	5.36936300e-08	1.32515384e+03	-2.99974200e-01	-1.63520500e-07	1.83447458e+06	-2.99927500e-01	6.72980700e-08	-4.45670284e+06
2.40835580e+01	2023-02-13T17:37:22.039427	6.80565800e-05	4.50496200e-08	1.51070264e+03	-2.99967000e-01	-1.63174400e-07	1.83832145e+06	-2.49927600e-01	7.29092500e-08	-3.42792718e+06
2.52405583e+01	2023-02-13T17:37:23.196493	6.77219100e-05	4.82396100e-08	1.40386521e+03	-2.99962800e-01	-1.46275900e-07	2.05066453e+06	-1.99930200e-01	6.00799700e-08	-3.32773468e+06
2.64117980e+01	2023-02-13T17:37:24.367559	6.93952900e-05	4.47703200e-08	1.55002890e+03	-2.99969000e-01	-1.62608000e-07	1.84473704e+06	-1.49938500e-01	7.45417300e-08	-2.01147062e+06
2.75680238e+01	2023-02-13T17:37:25.523624	6.36221200e-05	8.88912700e-08	7.15729677e+02	-2.99968800e-01	-1.74688300e-07	1.71716595e+06	-9.99396200e-02	6.84409300e-08	-1.46023176e+06
